row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,870.615.529.226,852.864.445.704,,1.0,870615529226.0,852864445704.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định và bất động sản đầu tư,02,519.256.652.582,191.416.391.928,,2.0,519256652582.0,191416391928.0
,,,Các khoản dự phòng,03,36.967.616.014,161.178.465.999,,3.0,36967616014.0,161178465999.0
,,,Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,8.093.479.053,534.131.424,,4.0,8093479053.0,534131424.0
,,,(Lãi) từ hoạt động đầu tư,05,(129.190.927.841),(173.126.134.697),,5.0,-129190927841.0,-173126134697.0
,,,Chi phí lãi vay,06,62.586.468.519,186.427.398,,6.0,62586468519.0,186427398.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,1.368.328.817.553,1.033.053.727.756,,8.0,1368328817553.0,1033053727756.0
,,,"Tăng, giảm các khoản phải thu",09,(284.540.032.573),(124.204.301.195),,9.0,-284540032573.0,-124204301195.0
,,,"Tăng, giảm hàng tồn kho",10,(433.702.859.916),(365.186.258.351),,10.0,-433702859916.0,-365186258351.0
,,,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(6.824.219.476),(217.852.377.459),,11.0,-6824219476.0,-217852377459.0
,,,"Tăng, giảm chi phí trả trước",12,(28.881.238.829),26.658.151.088,,12.0,-28881238829.0,26658151088.0
,,,Tiền lãi vay đã trả,14,(95.538.767),(186.427.398),,14.0,-95538767.0,-186427398.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(144.064.079.451),(150.238.245.425),,15.0,-144064079451.0,-150238245425.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(89.165.406.558),(121.068.044.243),,17.0,-89165406558.0,-121068044243.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,381.055.441.983,80.976.224.773,,20.0,381055441983.0,80976224773.0
II.,II.,II.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỨ,,,,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(890.564.913.641),(1.392.102.797.275),,21.0,-890564913641.0,-1392102797275.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,5.320.554.728,24.314.881.455,,22.0,5320554728.0,24314881455.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(1.695.000.000.000),(1.310.000.000.000),,23.0,-1695000000000.0,-1310000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,1.635.000.000.000,470.000.000.000,,24.0,1635000000000.0,470000000000.0
5.,II. > 5.,5.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,123.554.802.970,159.662.046.661,,27.0,123554802970.0,159662046661.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(821.689.555.943),(2.048.125.869.159),,30.0,-821689555943.0,-2048125869159.0
