row_label_raw,row_label_full,Chi tiêu,Phát sinh trong năm > Số đầu năm,Phát sinh trong năm > Phát sinh tăng,Phát sinh trong năm > Phát sinh giảm,Phát sinh trong năm > Số cuối năm,numeric__Phát sinh trong năm > Số đầu năm,numeric__Phát sinh trong năm > Phát sinh tăng,numeric__Phát sinh trong năm > Phát sinh giảm,numeric__Phát sinh trong năm > Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.981.297.298,-,32.879.866,3.948.417.432,3981297298.0,,32879866.0,3948417432.0
Thuế thu nhập cá nhân,Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.116.310.919,,1.683.599.921,1.432.710.998,3116310919.0,,1683599921.0,1432710998.0
Cộng,Thuế và các khoản phải thu > Cộng,Cộng,7.097.608.217,-,1.716.479.787,5.381.128.430,7097608217.0,,1716479787.0,5381128430.0
Chi tiêu,Chi tiêu,Chi tiêu,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,,,,
Chi tiêu,Chi tiêu,Chi tiêu,Số đầu năm,Số phải nộp,Số đã nộp,Số cuối năm,,,,
,,,VND,VND,VND,VND,,,,
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,,,,,
Thuế GTGT hàng bán nội địa,Thuế và các khoản phải nộp > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,3.549.902.535,29.200.059.968,27.751.309.623,4.998.652.880,3549902535.0,29200059968.0,27751309623.0,4998652880.0
Thuế GTGT hàng nhập khẩu,Thuế và các khoản phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,13.562.103.647,13.562.103.647,-,,13562103647.0,13562103647.0,
"Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,55.094.222.381,55.094.222.381,-,,55094222381.0,55094222381.0,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,10.838.967.187,150.052.191.531,144.064.079.451,16.827.079.267,10838967187.0,150052191531.0,144064079451.0,16827079267.0
Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.454.827.666,35.262.614.599,35.566.661.680,1.150.780.585,1454827666.0,35262614599.0,35566661680.0,1150780585.0
Thuế tài nguyên,Thuế và các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,137.998.560,2.237.126.786,2.112.962.786,262.162.560,137998560.0,2237126786.0,2112962786.0,262162560.0
Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,86.000,89.577.160,75.234.920,14.428.240,86000.0,89577160.0,75234920.0,14428240.0
Thuế môn bài,Thuế và các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,25.000.000,25.000.000,-,,25000000.0,25000000.0,
Thuế nhà thầu nước ngoài,Thuế và các khoản phải nộp > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,17.873.058.821,17.873.058.821,-,,17873058821.0,17873058821.0,
Các loại thuế khác,Thuế và các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,1.066.771.003,1.066.771.003,-,,1066771003.0,1066771003.0,
Cộng,Thuế và các khoản phải nộp > Cộng,Cộng,15.981.781.948,304.462.725.896,297.191.404.312,23.253.103.532,15981781948.0,304462725896.0,297191404312.0,23253103532.0
