row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,"Bản quyền,bằng sáng chếVND",Phần mềmmáy tínhVND,Tài sản cố địnhvô hình khácVND,Tổng cộngVND,numeric__Quyền sử dụng đấtVND,"numeric__Bản quyền,bằng sáng chếVND",numeric__Phần mềmmáy tínhVND,numeric__Tài sản cố địnhvô hình khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,864.754.631.862,209.910.728.332,82.134.358.613,10.055.268.032,1.166.854.986.839,864754631862.0,209910728332.0,82134358613.0,10055268032.0,1166854986839.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,1.697.200.000,1.464.909.091,5.764.365.122,8.926.474.213,,1697200000.0,1464909091.0,5764365122.0,8926474213.0
Giảm do phân loại lại theoquyết toán giá trị công trìnhThanh lý,NGUYÊN GIÁ > Giảm do phân loại lại theoquyết toán giá trị công trìnhThanh lý,Giảm do phân loại lại theoquyết toán giá trị công trìnhThanh lý,-,(35.788.652.405),-,-,(35.788.652.405),,-35788652405.0,,,-35788652405.0
Giảm do phân loại lại theoquyết toán giá trị công trìnhThanh lý,NGUYÊN GIÁ > Giảm do phân loại lại theoquyết toán giá trị công trìnhThanh lý,Giảm do phân loại lại theoquyết toán giá trị công trìnhThanh lý,(901.424.700),-,-,-,(901.424.700),-901424700.0,,,,-901424700.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,863.853.207.162,175.819.275.927,83.599.267.704,15.819.633.154,1.139.091.383.947,863853207162.0,175819275927.0,83599267704.0,15819633154.0,1139091383947.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,31.396.179.310,177.893.664.113,51.740.005.196,10.010.494.261,271.040.342.880,31396179310.0,177893664113.0,51740005196.0,10010494261.0,271040342880.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,5.005.600.203,612.635.976,7.388.009.240,472.854.264,13.479.099.683,5005600203.0,612635976.0,7388009240.0,472854264.0,13479099683.0
Giảm do phân loại lại theoquyết toán giá trị công trình,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do phân loại lại theoquyết toán giá trị công trình,Giảm do phân loại lại theoquyết toán giá trị công trình,-,(5.342.518.652),-,-,(5.342.518.652),,-5342518652.0,,,-5342518652.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,36.401.779.513,173.163.781.437,59.128.014.436,10.483.348.525,279.176.923.911,36401779513.0,173163781437.0,59128014436.0,10483348525.0,279176923911.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,833.358.452.552,32.017.064.219,30.394.353.417,44.773.771,895.814.643.959,833358452552.0,32017064219.0,30394353417.0,44773771.0,895814643959.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,827.451.427.649,2.655.494.490,24.471.253.268,5.336.284.629,859.914.460.036,827451427649.0,2655494490.0,24471253268.0,5336284629.0,859914460036.0
