row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,9.395.359.665.641,8.101.852.559.310,,1.0,,9395359665641.0,8101852559310.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,98.248.115.232,106.023.465.391,,2.0,,98248115232.0,106023465391.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,9.297.111.550.409,7.995.829.093.919,,10.0,27.0,9297111550409.0,7995829093919.0
4.,4.,4.,Giá vốn hàng bán và cung cấp dịch vụ,11,27,7.397.640.258.893,5.884.432.561.847,,11.0,27.0,7397640258893.0,5884432561847.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,27,1.899.471.291.516,2.111.396.532.072,,20.0,27.0,1899471291516.0,2111396532072.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,123.658.446.036,164.595.463.841,,21.0,29.0,123658446036.0,164595463841.0
7.,7.,7.,Chi phí tài chính,22,30,73.797.994.363,1.379.308.284,,22.0,30.0,73797994363.0,1379308284.0
7.,7.,7.,- Trong đó: Chi phí lãi vay,23,,62.586.468.519,186.427.398,,23.0,,62586468519.0,186427398.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,5,2.916.621.493,3.834.843.056,,24.0,5.0,2916621493.0,3834843056.0
9.,9.,9.,Chi phí bán hàng,25,31,612.322.153.525,802.514.524.567,,25.0,31.0,612322153525.0,802514524567.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,31,485.710.294.387,638.677.975.533,,26.0,31.0,485710294387.0,638677975533.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,854.215.916.770,837.255.030.585,,30.0,,854215916770.0,837255030585.0
12.,12.,12.,Thu nhập khác,31,,17.876.027.364,17.312.125.756,,31.0,,17876027364.0,17312125756.0
13.,13.,13.,Chi phí khác,32,,1.476.414.908,1.702.710.637,,32.0,,1476414908.0,1702710637.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,16.399.612.456,15.609.415.119,,40.0,,16399612456.0,15609415119.0
15.,15.,15.,Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,870.615.529.226,852.864.445.704,,50.0,,870615529226.0,852864445704.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,147.299.819.968,141.942.071.760,,51.0,32.0,147299819968.0,141942071760.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,16,10.841.508.544,3.082.437.394,,52.0,16.0,10841508544.0,3082437394.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,712.474.200.714,707.839.936.550,,60.0,,712474200714.0,707839936550.0
18.1.,18.1.,18.1.,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,61,,699.593.467.601,694.455.793.862,,61.0,,699593467601.0,694455793862.0
18.2.,18.2.,18.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,12.880.733.113,13.384.142.688,,62.0,,12880733113.0,13384142688.0
