row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
"Công ty Cổ phần Hạ tầng GELEX (""Hạ tầng GELEX"")","Công ty Cổ phần Hạ tầng GELEX (""Hạ tầng GELEX"")","Công ty Cổ phần Hạ tầng GELEX (""Hạ tầng GELEX"")",Công ty con,
"Công ty Cổ phần Điện lực GELEX (""GELEX Electric"")","Công ty Cổ phần Điện lực GELEX (""GELEX Electric"")","Công ty Cổ phần Điện lực GELEX (""GELEX Electric"")",Công ty con,
"Công ty Cổ phần Dây cáp điện Việt Nam (""CADIVI"")","Công ty Cổ phần Dây cáp điện Việt Nam (""CADIVI"")","Công ty Cổ phần Dây cáp điện Việt Nam (""CADIVI"")",Công ty con,
"Công ty TNHH MTV CADIVI Đồng Nai (""CADIVI Đồng Nai"")","Công ty TNHH MTV CADIVI Đồng Nai (""CADIVI Đồng Nai"")","Công ty TNHH MTV CADIVI Đồng Nai (""CADIVI Đồng Nai"")",Công ty con,
"Công ty TNHH MTV CADIVI Miền Bắc (""CADIVI Miền Bắc"")","Công ty TNHH MTV CADIVI Miền Bắc (""CADIVI Miền Bắc"")","Công ty TNHH MTV CADIVI Miền Bắc (""CADIVI Miền Bắc"")",Công ty con,
"Công ty Cổ phần Thiết bị Điện (""Thibidi"")","Công ty Cổ phần Thiết bị Điện (""Thibidi"")","Công ty Cổ phần Thiết bị Điện (""Thibidi"")",Công ty con,
"Công ty Cổ phần Chế tạo Điện cơ Hà Nội (""HEM"")","Công ty Cổ phần Chế tạo Điện cơ Hà Nội (""HEM"")","Công ty Cổ phần Chế tạo Điện cơ Hà Nội (""HEM"")",Công ty con,
"Công ty Cổ phần Thiết bị đo điện EMIC (""EMIC"")","Công ty Cổ phần Thiết bị đo điện EMIC (""EMIC"")","Công ty Cổ phần Thiết bị đo điện EMIC (""EMIC"")",Công ty con,
"Công ty Dây đồng Việt Nam CFT (""CFT"")","Công ty Dây đồng Việt Nam CFT (""CFT"")","Công ty Dây đồng Việt Nam CFT (""CFT"")",Công ty con,
Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,Công ty con,
Công ty Cổ phần Mua Bán Điện GELEX,Công ty Cổ phần Mua Bán Điện GELEX,Công ty Cổ phần Mua Bán Điện GELEX,Công ty con,
Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Công ty con,
Công ty Cổ phần Thương mại Viglacera,Công ty Cổ phần Thương mại Viglacera,Công ty Cổ phần Thương mại Viglacera,Công ty con,
"Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE (""MEE"")","Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE (""MEE"")","Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE (""MEE"")",Công ty con,
"Công ty Cổ phần Đầu tư Nước sạch Sông Đà (""Viwasupco"")","Công ty Cổ phần Đầu tư Nước sạch Sông Đà (""Viwasupco"")","Công ty Cổ phần Đầu tư Nước sạch Sông Đà (""Viwasupco"")",Công ty con,
Công ty Cổ phần Viglacera Vân Hải,Công ty Cổ phần Viglacera Vân Hải,Công ty Cổ phần Viglacera Vân Hải,Công ty con,
Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,Công ty liên k,
Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty liên k,
Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty con t,
,,,kết kể từ ngà,
Công ty TNHH Chế tạo Điện cơ HEM,Công ty TNHH Chế tạo Điện cơ HEM,Công ty TNHH Chế tạo Điện cơ HEM,Công ty con t,
,,,kết kể từ ngà,
Công ty TNHH ICAPITAL,Công ty TNHH ICAPITAL,Công ty TNHH ICAPITAL,Công ty có ch,
,,,Công ty có ch,
Công ty Cổ phần Thiết bị Công nghiệp GEIC,Công ty Cổ phần Thiết bị Công nghiệp GEIC,Công ty Cổ phần Thiết bị Công nghiệp GEIC,kết từ ngày 01,
Công ty TNHH Công nghiệp Titan Corporation 2 (Bắc Ninh),Công ty TNHH Công nghiệp Titan Corporation 2 (Bắc Ninh),Công ty TNHH Công nghiệp Titan Corporation 2 (Bắc Ninh),Công ty có ch,
,,,kết từ ngày 01,
,,,Công ty có ch,
Công ty TNHH Công nghiệp Titan (Hưng Yên),Công ty TNHH Công nghiệp Titan (Hưng Yên),Công ty TNHH Công nghiệp Titan (Hưng Yên),kết từ ngày 01,
Công ty TNHH Công nghiệp Titan Corporation (Bắc Ninh) 1,Công ty TNHH Công nghiệp Titan Corporation (Bắc Ninh) 1,Công ty TNHH Công nghiệp Titan Corporation (Bắc Ninh) 1,Công ty có ch,
,,,kết từ ngày 01,
Công ty TNHH Công nghiệp Titan Corporation 3 (Bắc Ninh),Công ty TNHH Công nghiệp Titan Corporation 3 (Bắc Ninh),Công ty TNHH Công nghiệp Titan Corporation 3 (Bắc Ninh),Công ty có ch,
,,,kết từ ngày 01,
,,,Công ty có ch,
Công ty Cổ phần Chứng khoán VIX (*),Công ty Cổ phần Chứng khoán VIX (*),Công ty Cổ phần Chứng khoán VIX (*),đến ngày 16,
,,,Công ty có ch,
Công ty Cổ phần K.I.P Việt Nam (*),Công ty Cổ phần K.I.P Việt Nam (*),Công ty Cổ phần K.I.P Việt Nam (*),đến ngày 26,
