row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.669.486.567.305,1.669.486.567.305,7.316.363.257.683,4.710.207.416.652,4.275.642.408.336,4.275.642.408.336,1669486567305.0,1669486567305.0,7316363257683.0,4710207416652.0,4275642408336.0,4275642408336.0
Vay ngắn hạn ngân hàng (i),Vay ngắn hạn ngân hàng (i),Vay ngắn hạn ngân hàng (i),1.519.486.567.305,1.519.486.567.305,4.519.203.661.457,3.561.645.788.558,2.477.044.440.204,2.477.044.440.204,1519486567305.0,1519486567305.0,4519203661457.0,3561645788558.0,2477044440204.0,2477044440204.0
Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay ngắn hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),150.000.000.000,150.000.000.000,2.596.723.582.700,1.025.400.000.000,1.721.323.582.700,1.721.323.582.700,150000000000.0,150000000000.0,2596723582700.0,1025400000000.0,1721323582700.0,1721323582700.0
Vay ngắn hạn công ty khác,Vay ngắn hạn công ty khác,Vay ngắn hạn công ty khác,-,-,200.436.013.526,123.161.628.094,77.274.385.432,77.274.385.432,,,200436013526.0,123161628094.0,77274385432.0,77274385432.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,795.375.000.014,795.375.000.014,37.9444.999.986,800.000.000.000,33.320.000.000,33.320.000.000,795375000014.0,795375000014.0,379444999986.0,800000000000.0,33320000000.0,33320000000.0
Vay ngân hàng dài hạn đến hạn trả (i),Vay ngân hàng dài hạn đến hạn trả (i),Vay ngân hàng dài hạn đến hạn trả (i),200.000.000.000,200.000.000.000,33.320.000.000,200.000.000.000,33.320.000.000,33.320.000.000,200000000000.0,200000000000.0,33320000000.0,200000000000.0,33320000000.0,33320000000.0
Trái phiếu dài hạn đến hạn trả (ii),Trái phiếu dài hạn đến hạn trả (ii),Trái phiếu dài hạn đến hạn trả (ii),595.375.000.014,595.375.000.014,4.624.999.986,600.000.000.000,-,-,595375000014.0,595375000014.0,4624999986.0,600000000000.0,,
,,,2.464.861.567.319,2.464.861.567.319,7.354.308.257.669,5.510.207.416.652,4.308.962.408.336,4.308.962.408.336,2464861567319.0,2464861567319.0,7354308257669.0,5510207416652.0,4308962408336.0,4308962408336.0
,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,
,,,Giá trị,VND Số có khả năng trả nợ,Tăng,VND Giảm,Giá trị,VND Số có khả năng trả nợ,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,,,,,
Vay dài hạn ngân hàng (i),Vay dài hạn > Vay dài hạn ngân hàng (i),Vay dài hạn ngân hàng (i),400.000.000.000,400.000.000.000,1.172.665.565.774,33.320.000.000,1.539.345.565.774,1.539.345.565.774,400000000000.0,400000000000.0,1172665565774.0,33320000000.0,1539345565774.0,1539345565774.0
Vay dài hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay dài hạn > Vay dài hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),Vay dài hạn là các bên liên quan(Chi tiết trình bày tại Thuyết minh số 32),840.000.000.000,840.000.000.000,-,20.000.000.000,820.000.000.000,820.000.000.000,840000000000.0,840000000000.0,,20000000000.0,820000000000.0,820000000000.0
Trái phiếu phát hành (ii),Vay dài hạn > Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),1.133.728.094.997,1.133.728.094.997,2.711.984.172,-,1.136.440.079.169,1.136.440.079.169,1133728094997.0,1133728094997.0,2711984172.0,,1136440079169.0,1136440079169.0
,,,2.373.728.094.997,2.373.728.094.997,1.175.377.549.946,53.320.000.000,3.495.785.644.943,3.495.785.644.943,2373728094997.0,2373728094997.0,1175377549946.0,53320000000.0,3495785644943.0,3495785644943.0
