row_label_raw,row_label_full,Thuế giá trị gia tăng,Số phải thu đầu nămVND > 1.524.831.783,Số phải nộp đầu nămVND > -,Số phải nộp trong nămVND > 350.974.876.785,Số đã thực nộp/khẩu trừ trong nămVND > 353.121.943.249,Số phải thu cuối nămVND > 3.671.898.247,Số phải nộp cuối nămVND > -,numeric__Số phải thu đầu nămVND > 1.524.831.783,numeric__Số phải nộp đầu nămVND > -,numeric__Số phải nộp trong nămVND > 350.974.876.785,numeric__Số đã thực nộp/khẩu trừ trong nămVND > 353.121.943.249,numeric__Số phải thu cuối nămVND > 3.671.898.247,numeric__Số phải nộp cuối nămVND > -
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.000.000.000,-,-,-,1.000.000.000,-,1000000000.0,,,,1000000000.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,370.343.189,10.701.389.824,10.424.922.632,-,646.810.381,,370343189.0,10701389824.0,10424922632.0,,646810381.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.825.000.247,-,19.425.886.420,19.425.886.420,1.825.000.247,-,1825000247.0,,19425886420.0,19425886420.0,1825000247.0,
Các loại thuế khác và các khoản phải nộp khác,Các loại thuế khác và các khoản phải nộp khác,Các loại thuế khác và các khoản phải nộp khác,-,821.206.670,3.113.040.386,3.699.268.024,-,234.979.032,,821206670.0,3113040386.0,3699268024.0,,234979032.0
,,,4.349.832.030,1.191.549.859,384.215.193.415,386.672.020.325,6.496.898.494,881.789.413,4349832030.0,1191549859.0,384215193415.0,386672020325.0,6496898494.0,881789413.0
