row_label_raw,row_label_full,Ông Nguyễn Trọng Hiền,Chủ tịch,numeric__Chủ tịch
Ông Lương Thanh Tùng,Ông Lương Thanh Tùng,Ông Lương Thanh Tùng,Phó Chủ tịch,
Ông Lê Bá Thọ,Ông Lê Bá Thọ,Ông Lê Bá Thọ,Phó Chủ tịch (bố nhiệm ngày 01 tháng 01 năm 2024),
Ông Nguyễn Văn Tuần,Ông Nguyễn Văn Tuần,Ông Nguyễn Văn Tuần,Thành viên,
Ông Đậu Minh Lâm,Ông Đậu Minh Lâm,Ông Đậu Minh Lâm,Thành viên độc lập,
