row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,42.912.062.694,30.908.834.839,18.642.403.000,9.911.031.118,102.374.331.651,42912062694.0,30908834839.0,18642403000.0,9911031118.0,102374331651.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,4.707.441.818,34.227.273,4.741.669.091,,,4707441818.0,34227273.0,4741669091.0
Phân loại lại từ bất động sản đầu tư,NGUYÊN GIÁ > Phân loại lại từ bất động sản đầu tư,Phân loại lại từ bất động sản đầu tư,8.906.750.562,955.098.816,-,4.200.699.984,14.062.549.362,8906750562.0,955098816.0,,4200699984.0,14062549362.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(27.216.705.241),-,(1.251.212.464),(28.467.917.705),,-27216705241.0,,-1251212464.0,-28467917705.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,51.818.813.256,4.647.228.414,23.349.844.818,12.894.745.911,92.710.632.399,51818813256.0,4647228414.0,23349844818.0,12894745911.0,92710632399.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,12.415.736.219,27.339.088.000,4.203.266.841,7.893.625.315,51.851.716.375,12415736219.0,27339088000.0,4203266841.0,7893625315.0,51851716375.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.455.091.264,483.583.056,3.181.948.464,1.514.449.774,6.635.072.558,1455091264.0,483583056.0,3181948464.0,1514449774.0,6635072558.0
Phân loại lại từ bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại từ bất động sản đầu tư,Phân loại lại từ bất động sản đầu tư,1.646.635.022,653.548.472,-,3.219.244.767,5.519.428.261,1646635022.0,653548472.0,,3219244767.0,5519428261.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(25.081.807.352),-,(1.251.212.464),(26.333.019.816),,-25081807352.0,,-1251212464.0,-26333019816.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,15.517.462.505,3.394.412.176,7.385.215.305,11.376.107.392,37.673.197.378,15517462505.0,3394412176.0,7385215305.0,11376107392.0,37673197378.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,30.496.326.475,3.569.746.839,14.439.136.159,2.017.405.803,50.522.615.276,30496326475.0,3569746839.0,14439136159.0,2017405803.0,50522615276.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,36.301.350.751,1.252.816.238,15.964.629.513,1.518.638.519,55.037.435.021,36301350751.0,1252816238.0,15964629513.0,1518638519.0,55037435021.0
