row_label_raw,row_label_full,col_0,31/12/2023 > Tỷ lệ sở hữu (%),31/12/2023 > Tỷ lệ quyền biểu quyết (%),31/12/2023 > Giá gốc VND,31/12/2023 > Dự phòng VND,31/12/2023 > Giá trị hợp lý VND,31/12/2023 > Tỷ lệ sở hữu (%)_1,1/1/2023 > Tỷ lệ quyền biểu quyết (%),1/1/2023 > Giá gốc VND,1/1/2023 > Dự phòng VNDĐã điều chỉnh lại,numeric__31/12/2023 > Tỷ lệ sở hữu (%),numeric__31/12/2023 > Tỷ lệ quyền biểu quyết (%),numeric__31/12/2023 > Giá gốc VND,numeric__31/12/2023 > Dự phòng VND,numeric__31/12/2023 > Giá trị hợp lý VND,numeric__31/12/2023 > Tỷ lệ sở hữu (%)_1,numeric__1/1/2023 > Tỷ lệ quyền biểu quyết (%),numeric__1/1/2023 > Giá gốc VND,numeric__1/1/2023 > Dự phòng VNDĐã điều chỉnh lại
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,,,,,,,,,
• Tổng Công ty Cổ phần Phong Phú,▪ Công ty con > • Tổng Công ty Cổ phần Phong Phú,• Tổng Công ty Cổ phần Phong Phú,"50,10%","50,10%",532.242.925.014,-,(*),"50,10%","50,10%",532.242.925.014,-,0.501,0.501,532242925014.0,,,0.501,0.501,532242925014.0,
• Tổng ty TNHH MTV Đệt kim Đông Phương,▪ Công ty con > • Tổng ty TNHH MTV Đệt kim Đông Phương,• Tổng ty TNHH MTV Đệt kim Đông Phương,"100,00%","100,00%",163.627.554.636,(138.230.486.777),(*),"100,00%","100,00%",163.627.554.636,(88.249.529.864),1.0,1.0,163627554636.0,-138230486777.0,,1.0,1.0,163627554636.0,-88249529864.0
• Tổng Công ty Cổ phần Đệt May Hòa Thơ,▪ Công ty con > • Tổng Công ty Cổ phần Đệt May Hòa Thơ,• Tổng Công ty Cổ phần Đệt May Hòa Thơ,"61,87%","61,87%",189.153.465.950,-,(*),"61,87%","61,87%",189.153.465.950,-,0.6187,0.6187,189153465950.0,,,0.6187,0.6187,189153465950.0,
• Tổng ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,▪ Công ty con > • Tổng ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,• Tổng ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,"68,34%","68,34%",26.032.500.000,(26.032.500.000),(*),"68,34%","68,34%",26.032.500.000,(26.032.500.000),0.6834,0.6834,26032500000.0,-26032500000.0,,0.6834,0.6834,26032500000.0,-26032500000.0
• Tổng Công ty Cổ phần Đệt May Nam Định,▪ Công ty con > • Tổng Công ty Cổ phần Đệt May Nam Định,• Tổng Công ty Cổ phần Đệt May Nam Định,"53,67%","53,67%",81.555.023.813,(14.864.483.416),(*),"53,67%","53,67%",81.555.023.813,-,0.5367000000000001,0.5367000000000001,81555023813.0,-14864483416.0,,0.5367000000000001,0.5367000000000001,81555023813.0,
• Công ty TNHH Một thành viên Đệt kim Đông Xuân,▪ Công ty con > • Công ty TNHH Một thành viên Đệt kim Đông Xuân,• Công ty TNHH Một thành viên Đệt kim Đông Xuân,"100,00%","100,00%",115.191.925.340,(8.046.090.430),(*),"100,00%","100,00%",115.191.925.340,(8.821.178.631),1.0,1.0,115191925340.0,-8046090430.0,,1.0,1.0,115191925340.0,-8821178631.0
• Công ty TNHH Sản xuất Kinh doanh Nguyễn liệu Đệt May Việt Nam,▪ Công ty con > • Công ty TNHH Sản xuất Kinh doanh Nguyễn liệu Đệt May Việt Nam,• Công ty TNHH Sản xuất Kinh doanh Nguyễn liệu Đệt May Việt Nam,"61,63%","61,63%",24.852.076.451,(22.888.261.231),(*),"61,63%","61,63%",24.852.076.451,(24.852.076.451),0.6163000000000001,0.6163000000000001,24852076451.0,-22888261231.0,,0.6163000000000001,0.6163000000000001,24852076451.0,-24852076451.0
• Công ty Cổ phần Phát triển Hạ tầng Đệt May Phố Nói,▪ Công ty con > • Công ty Cổ phần Phát triển Hạ tầng Đệt May Phố Nói,• Công ty Cổ phần Phát triển Hạ tầng Đệt May Phố Nói,"51,00%","51,00%",38.633.449.251,-,(*),"51,00%","51,00%",38.633.449.251,-,0.51,0.51,38633449251.0,,,0.51,0.51,38633449251.0,
