row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,5.000.000.000.000,30.361.932.352,503.157.559.155,543.092.845.095,6.076.612.336.602,5000000000000.0,30361932352.0,503157559155.0,543092845095.0,6076612336602.0
Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,-,-,259.728.061.992,-,259.728.061.992,,,259728061992.0,,259728061992.0
Lợi nhuận thuần trong năm – theo báo cáo trước đây,Lợi nhuận thuần trong năm – theo báo cáo trước đây,Lợi nhuận thuần trong năm – theo báo cáo trước đây,-,-,201.856.138.488,-,201.856.138.488,,,201856138488.0,,201856138488.0
Điều chỉnh lại (Thuyết minh 40),Điều chỉnh lại (Thuyết minh 40),Điều chỉnh lại (Thuyết minh 40),-,-,57.871.923.504,-,57.871.923.504,,,57871923504.0,,57871923504.0
"Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 20)",-,-,(22.257.000.000),-,(22.257.000.000),,,-22257000000.0,,-22257000000.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,(350.000.000.000),-,(350.000.000.000),,,-350000000000.0,,-350000000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,(11.527.613.551),-,(11.527.613.551),,,-11527613551.0,,-11527613551.0
Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,379.101.007.596,543.092.845.095,5.952.555.785.043,5000000000000.0,30361932352.0,379101007596.0,543092845095.0,5952555785043.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,125.550.876.435,-,125.550.876.435,,,125550876435.0,,125550876435.0
"Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Phân bổ vào quỹ khen thưởng, phúc lợi (Thuyết minh 20)",-,-,(9.500.000.000),-,(9.500.000.000),,,-9500000000.0,,-9500000000.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,(300.000.000.000),-,(300.000.000.000),,,-300000000000.0,,-300000000000.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,5.000.000.000.000,30.361.932.352,195.151.884.031,543.092.845.095,5.768.606.661.478,5000000000000.0,30361932352.0,195151884031.0,543092845095.0,5768606661478.0
