row_label_raw,row_label_full,col_0,1/1/2023 VND Đã điều chỉnh lại,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp/được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào VND,31/12/2023 VND,numeric__1/1/2023 VND Đã điều chỉnh lại,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào VND,numeric__31/12/2023 VND
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,475.978.936,-,6.327.487.958,(6.331.951.226),-,471.515.668,475978936.0,,6327487958.0,-6331951226.0,,471515668.0
Văn phòng,Văn phòng,Văn phòng,435.408.074,-,6.065.848.941,(6.052.038.564),-,449.218.451,435408074.0,,6065848941.0,-6052038564.0,,449218451.0
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,7.283.589,-,118.856.167,(112.592.263),-,13.547.493,7283589.0,,118856167.0,-112592263.0,,13547493.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,8.053.689,-,79.434.167,(81.346.856),-,6.141.000,8053689.0,,79434167.0,-81346856.0,,6141000.0
Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,25.233.584,-,63.348.683,(85.973.543),-,2.608.724,25233584.0,,63348683.0,-85973543.0,,2608724.0
+ Thuế nhập khẩu,+ Thuế nhập khẩu,+ Thuế nhập khẩu,-,-,18.662.039,(18.662.039),-,-,,,18662039.0,-18662039.0,,
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,18.662.039,(18.662.039),-,-,,,18662039.0,-18662039.0,,
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,7.562.230.189,-,3.582.630.612,(3.582.769.789),-,7.562.091.012,7562230189.0,,3582630612.0,-3582769789.0,,7562091012.0
"+ Tiền thuê đất, thuế đất","+ Tiền thuê đất, thuế đất","+ Tiền thuê đất, thuế đất",-,-,3.455.532.375,(3.455.532.375),-,-,,,3455532375.0,-3455532375.0,,
Văn phòng Hà Nội,Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,3.455.532.375,(3.455.532.375),-,-,,,3455532375.0,-3455532375.0,,
+ Các khoản khác,+ Các khoản khác,+ Các khoản khác,7.562.230.189,-,127.098.237,(127.237.414),-,7.562.091.012,7562230189.0,,127098237.0,-127237414.0,,7562091012.0
Văn phòng Hà Nội (*),Văn phòng Hà Nội (*),Văn phòng Hà Nội (*),7.562.230.189,-,127.098.237,(127.237.414),-,7.562.091.012,7562230189.0,,127098237.0,-127237414.0,,7562091012.0
,,,13.504.927.625,69.316.391.289,18.967.192.300,(43.489.755.826),(47.465.407.467),10.833.347.921,13504927625.0,69316391289.0,18967192300.0,-43489755826.0,-47465407467.0,10833347921.0
