row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023 VND,2022 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2023 VND,numeric__2022 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,27,1.427.532.432.102,1.375.057.176.046,1.0,27.0,1427532432102.0,1375057176046.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,28,1.405.839.632.578,1.393.229.245.118,11.0,28.0,1405839632578.0,1393229245118.0
Lợi nhuận/(lỗ) gộp (20 = 01 - 11),Lợi nhuận/(lỗ) gộp (20 = 01 - 11),Lợi nhuận/(lỗ) gộp (20 = 01 - 11),20,,21.692.799.524,(18.172.069.072),20.0,,21692799524.0,-18172069072.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,535.633.323.248,518.609.210.793,21.0,29.0,535633323248.0,518609210793.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,348.838.234.102,73.163.240.920,22.0,30.0,348838234102.0,73163240920.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,130.496.514.505,65.015.336.595,23.0,,130496514505.0,65015336595.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,37.125.943.875,46.853.659.708,25.0,31.0,37125943875.0,46853659708.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,32,77.800.354.289,122.375.062.996,26.0,32.0,77800354289.0,122375062996.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,93.561.590.506,258.045.178.097,30.0,,93561590506.0,258045178097.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,33,45.295.346.553,2.823.101.701,31.0,33.0,45295346553.0,2823101701.0
Chi phí khác,Chi phí khác,Chi phí khác,32,34,5.126.863.699,731.458.410,32.0,34.0,5126863699.0,731458410.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,40.168.482.854,2.091.643.291,40.0,,40168482854.0,2091643291.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,133.730.073.360,260.136.821.388,50.0,,133730073360.0,260136821388.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,36,8.179.196.925,408.759.396,51.0,36.0,8179196925.0,408759396.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),60,,125.550.876.435,259.728.061.992,60.0,,125550876435.0,259728061992.0
