row_label_raw,row_label_full,col_0,1/1/2023VNDĐã điều chỉnh lại,Thuế GTGTđầu raVND,Số phát sinh trong nămVND,Số đã nộp/được hoàn trong nămVND,Bù trừ với thuế GTGT đầu vàoVND,31/12/2023VND,numeric__1/1/2023VNDĐã điều chỉnh lại,numeric__Thuế GTGTđầu raVND,numeric__Số phát sinh trong nămVND,numeric__Số đã nộp/được hoàn trong nămVND,numeric__Bù trừ với thuế GTGT đầu vàoVND,numeric__31/12/2023VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,4.348.548.200,69.316.391.289,-,(24.517.961.081),(46.347.237.167),2.799.741.241,4348548200.0,69316391289.0,,-24517961081.0,-46347237167.0,2799741241.0
Văn phòng,Thuế > Văn phòng,Văn phòng,-,29.084.692.249,-,(1.546.037.406),(26.461.574.959),1.077.079.884,,29084692249.0,,-1546037406.0,-26461574959.0,1077079884.0
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,3.575.494.658,25.837.414.277,-,(20.863.576.681),(7.066.521.365),1.482.810.889,3575494658.0,25837414277.0,,-20863576681.0,-7066521365.0,1482810889.0
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,649.799.341,4.104.260.193,-,-,(4.754.059.534),-,649799341.0,4104260193.0,,,-4754059534.0,
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,123.254.201,10.290.024.570,-,(2.108.346.994),(8.065.081.309),239.850.468,123254201.0,10290024570.0,,-2108346994.0,-8065081309.0,239850468.0
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,1.118.170.300,-,850.214.766,(850.214.766),(1.118.170.300),-,1118170300.0,,850214766.0,-850214766.0,-1118170300.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,763.130.064,(763.130.064),-,-,,,763130064.0,-763130064.0,,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,1.118.170.300,-,87.084.702,(87.084.702),(1.118.170.300),-,1118170300.0,,87084702.0,-87084702.0,-1118170300.0,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,8.179.196.925,(8.179.196.925),-,-,,,8179196925.0,-8179196925.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,8.179.196.925,(8.179.196.925),-,-,,,8179196925.0,-8179196925.0,,
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,475.978.936,-,6.355.149.997,(6.359.613.265),-,471.515.668,475978936.0,,6355149997.0,-6359613265.0,,471515668.0
+ Thuế môn bài,Thuế > + Thuế môn bài,+ Thuế môn bài,-,-,9.000.000,(9.000.000),-,-,,,9000000.0,-9000000.0,,
Văn phòng Hà Nội,Thuế > Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,3.000.000,(3.000.000),-,-,,,3000000.0,-3000000.0,,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Máy Quế Sơn,Thuế > Nhà máy Máy Quế Sơn,Nhà máy Máy Quế Sơn,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,-,-,2.000.000,(2.000.000),-,-,,,2000000.0,-2000000.0,,
Nhà máy Yarndye,Thuế > Nhà máy Yarndye,Nhà máy Yarndye,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
