row_label_raw,row_label_full,col_0,2023VND,2022VNDĐã điều chỉnh lại,numeric__2023VND,numeric__2022VNDĐã điều chỉnh lại
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,199.397.851.883,104.028.340.787,199397851883.0,104028340787.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,75.296.768.505,98.971.212.055,75296768505.0,98971212055.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(507.019.670),(3.601.700.959),-507019670.0,-3601700959.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,274.187.600.718,199.397.851.883,274187600718.0,199397851883.0
Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,Các công trình xây dựng cơ bản dở dang lớn như sau:,,
,,,31/12/2023VND,1/1/2023VNDĐã điều chỉnh lại,,
Dự án Cao ốc Văn phòng – Căn hộ Vinatex Building,Các công trình xây dựng cơ bản dở dang lớn như sau: > Dự án Cao ốc Văn phòng – Căn hộ Vinatex Building,Dự án Cao ốc Văn phòng – Căn hộ Vinatex Building,231.363.017.151,168.791.088.014,231363017151.0,168791088014.0
Nhà máy Sợi Nam Định,Các công trình xây dựng cơ bản dở dang lớn như sau: > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,18.973.452.363,18.973.452.363,18973452363.0,18973452363.0
Kho nguyên liệu và thành phẩm Nhà máy Sợi Phú Cường,Các công trình xây dựng cơ bản dở dang lớn như sau: > Kho nguyên liệu và thành phẩm Nhà máy Sợi Phú Cường,Kho nguyên liệu và thành phẩm Nhà máy Sợi Phú Cường,12.387.453.797,-,12387453797.0,
Nhà máy Liên hợp Sợi-Dệt-Nhuộm-May Quảng Nam,Các công trình xây dựng cơ bản dở dang lớn như sau: > Nhà máy Liên hợp Sợi-Dệt-Nhuộm-May Quảng Nam,Nhà máy Liên hợp Sợi-Dệt-Nhuộm-May Quảng Nam,5.516.620.734,5.236.283.563,5516620734.0,5236283563.0
Các công trình khác,Các công trình xây dựng cơ bản dở dang lớn như sau: > Các công trình khác,Các công trình khác,5.947.056.673,6.397.027.943,5947056673.0,6397027943.0
,,,274.187.600.718,199.397.851.883,274187600718.0,199397851883.0
