row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,78.833.849.210,2.956.399.301,81.790.248.511,78833849210.0,2956399301.0,81790248511.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,115.225.000,115.225.000,,115225000.0,115225000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,78.833.849.210,3.071.624.301,81.905.473.511,78833849210.0,3071624301.0,81905473511.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,21.476.286.160,2.520.105.150,23.996.391.310,21476286160.0,2520105150.0,23996391310.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.638.730.776,122.457.184,1.761.187.960,1638730776.0,122457184.0,1761187960.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,23.115.016.936,2.642.562.334,25.757.579.270,23115016936.0,2642562334.0,25757579270.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,57.357.563.050,436.294.151,57.793.857.201,57357563050.0,436294151.0,57793857201.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,55.718.832.274,429.061.967,56.147.894.241,55718832274.0,429061967.0,56147894241.0
