row_label_raw,row_label_full,col_0,Phân mềm,Tài sản khác,VND Tổng công,numeric__Phân mềm,numeric__Tài sản khác,numeric__VND Tổng công
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,16.165.031.402,1.373.900.605,17.538.932.007,16165031402.0,1373900605.0,17538932007.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,7.509.511.402,1.373.900.605,8.883.412.007,7509511402.0,1373900605.0,8883412007.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(10.329.726.070),(1.358.275.605),(11.688.001.675),-10329726070.0,-1358275605.0,-11688001675.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.834.504.000),(15.625.000),(1.850.129.000),-1834504000.0,-15625000.0,-1850129000.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(12.164.230.070),(1.373.900.605),(13.538.130.675),-12164230070.0,-1373900605.0,-13538130675.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,5.835.305.332,15.625.000,5.850.930.332,5835305332.0,15625000.0,5850930332.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,4.000.801.332,-,4.000.801.332,4000801332.0,,4000801332.0
