row_label_raw,row_label_full,col_0,VNDNhà cửa và vật kiến trúc,numeric__VNDNhà cửa và vật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,93.720.323.078,93720323078.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,18.086.661.607,18086661607.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(958.210.873),-958210873.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,110.848.773.812,110848773812.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(9.539.698.676),-9539698676.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(3.400.085.178),-3400085178.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,157.040.123,157040123.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(12.782.743.731),-12782743731.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,84.180.624.402,84180624402.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,98.066.030.081,98066030081.0
