row_label_raw,row_label_full,Tên viết tắt,Lĩnh vực kinh doanh,Tỉnh trang hoạt động,Tỷ lệ biểu quyết (%),numeric__Lĩnh vực kinh doanh,numeric__Tỉnh trang hoạt động,numeric__Tỷ lệ biểu quyết (%)
Công nghệ Thông tin BĐS,Công nghệ Thông tin BĐS,Công nghệ Thông tin BĐS,Phát triển công nghệ,Đang hoạt động,"53,54",,,53.54
Asahi,Asahi,Asahi,Quản lý tài sản và đầu tư BĐS,Đang hoạt động,51,,,51.0
Tulip,Tulip,Tulip,Dịch vụ tài chính,Đang hoạt động,60,,,60.0
Lifarm,Lifarm,Lifarm,Nông nghiệp,Đang hoạt động,100,,,100.0
S-Advices,S-Advices,S-Advices,Tư vấn quản lý,Đang hoạt động,98,,,98.0
S-Media,S-Media,S-Media,Quảng cáo,Đang hoạt động,99,,,99.0
S-O Farm,S-O Farm,S-O Farm,Nông nghiệp,Đang hoạt động,98,,,98.0
Regal Food,Regal Food,Regal Food,Thực phẩm,Đang hoạt động,100,,,100.0
S-Tech,S-Tech,S-Tech,Phát triển công nghệ,Đang hoạt động,100,,,100.0
Asahi Luxstay,Asahi Luxstay,Asahi Luxstay,Tư vấn quản lý,Đang hoạt động,51,,,51.0
Regal Hotels,Regal Hotels,Regal Hotels,Cơ sở lưu trú du lịch,Đang hoạt động,100,,,100.0
Đất Xanh Commercial,Đất Xanh Commercial,Đất Xanh Commercial,"Tư vấn, môi giới BĐS",Đang hoạt động,70,,,70.0
Việt Nhật Cares,Việt Nhật Cares,Việt Nhật Cares,Vệ sinh nhà cửa,Đang hoạt động,51,,,51.0
Đông Bắc Bộ Homes,Đông Bắc Bộ Homes,Đông Bắc Bộ Homes,Kinh doanh BĐS,Đang hoạt động,51,,,51.0
Cara Smart City,Cara Smart City,Cara Smart City,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,100.0
Ngoc Khanh,Ngoc Khanh,Ngoc Khanh,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,100.0
Minh An,Minh An,Minh An,Hoạt động bảo vệ cá nhân,Đang hoạt động,51,,,51.0
Bất động sản Lan Anh,Bất động sản Lan Anh,Bất động sản Lan Anh,Kinh doanh BĐS,Đang hoạt động,100,,,100.0
Eastern Lotus,Eastern Lotus,Eastern Lotus,Kinh doanh BĐS,Đang hoạt động,100,,,100.0
Magnolia Southern Holdings,Magnolia Southern Holdings,Magnolia Southern Holdings,Kinh doanh BĐS,Đang hoạt động,100,,,100.0
Hoa Phương Đỏ,Hoa Phương Đỏ,Hoa Phương Đỏ,Kinh doanh BĐS,Đang hoạt động,100,,,100.0
Thuận An City,Thuận An City,Thuận An City,Kinh doanh BĐS,Đang hoạt động,100,,,100.0
Lê Gia Newland,Lê Gia Newland,Lê Gia Newland,Kinh doanh BĐS,Đang hoạt động,67,,,67.0
Địa Óc Thăng Long BĐS Orchid Land,Địa Óc Thăng Long BĐS Orchid Land,Địa Óc Thăng Long BĐS Orchid Land,Kinh doanh BĐS,Đang hoạt động,51,,,51.0
Địa Óc Thăng Long BĐS Orchid Land,Địa Óc Thăng Long BĐS Orchid Land,Địa Óc Thăng Long BĐS Orchid Land,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,100.0
