row_label_raw,row_label_full,Mã số,CHỈ TIẾU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIẾU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
10,10,10,1. Doanh thu thuần về bán hàng và cung cấp dịch vụ,24.1,79.015.674.234,89.503.575.774,,241.0,79015674234.0,89503575774.0
11,11,11,2. Giá vốn hàng bán và dịch vụ cung cấp,25,(12.511.546.745),(37.659.032.779),,25.0,-12511546745.0,-37659032779.0
20,20,20,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,66.504.127.489,51.844.542.995,,,66504127489.0,51844542995.0
21,21,21,4. Doanh thu hoạt động tài chính,24.2,27.897.391.320,404.739.391.110,,242.0,27897391320.0,404739391110.0
22,22,22,5. Chi phí tài chính Trong đó: Chi phí lãi vay,26,(23.977.894.535) (23.200.550.290),(96.115.472.627) (83.024.550.012),,26.0,,
23,23,23,5. Chi phí tài chính Trong đó: Chi phí lãi vay,26,(23.977.894.535) (23.200.550.290),(96.115.472.627) (83.024.550.012),,26.0,,
25,25,25,6. Chi phí bán hàng,27,(56.289.861.867),(4.831.252.628),,27.0,-56289861867.0,-4831252628.0
26,26,26,7. Chi phí quản lý doanh nghiệp,27,(130.260.104.361),(68.693.738.300),,27.0,-130260104361.0,-68693738300.0
30,30,30,8. (Lỗ) lợi nhuận thuần từ hoạt động kinh doanh,,(116.126.341.954),286.943.470.550,,,-116126341954.0,286943470550.0
31,31,31,9. Thu nhập khác,28,661.595.692,310.259.471,,28.0,661595692.0,310259471.0
32,32,32,10. Chi phí khác,28,(5.311.309.894),(35.073.270.219),,28.0,-5311309894.0,-35073270219.0
40,40,40,11. Lỗ khác,28,(4.649.714.202),(34.763.010.748),,28.0,-4649714202.0,-34763010748.0
50,50,50,12. Tổng (lỗ) lợi nhuận kế toán trước thuế,,(120.776.056.156),252.180.459.802,,,-120776056156.0,252180459802.0
51,51,51,13. Chi phí thuế TNDN hiện hành,29.1,(54.666.868.581),-,,291.0,-54666868581.0,
52,52,52,14. Chi phí thuế TNDN hoãn lại,29.3,54.666.868.581,-,,293.0,54666868581.0,
60,60,60,15. (Lỗ) lợi nhuận sau thuế TNDN,,(120.776.056.156),252.180.459.802,,,-120776056156.0,252180459802.0
