row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,,3.540.858.576.000,1.220.063.028.000,,,3540858576000.0,1220063028000.0
33,33,33,Tiền thu từ đi vay,22,642.229.571.627,956.213.478.212,,22.0,642229571627.0,956213478212.0
34,34,34,Tiền trả nợ gốc vay,22,(2.059.443.049.839),(778.519.054.541),,22.0,-2059443049839.0,-778519054541.0
40,40,40,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,2.123.645.097.788,1.397.757.451.671,,,2123645097788.0,1397757451671.0
50,50,50,Tăng tiền và các khoản tương đương thuần trong năm,,1.426.386.516.182,87.003.829.137,,,1426386516182.0,87003829137.0
60,60,60,Tiền và các khoản tương đương tiền đầu năm,,93.372.601.566,6.368.772.429,,,93372601566.0,6368772429.0
70,70,70,Tiền và các khoản tương đương tiền cuối năm,5,1.519.759.117.748,93.372.601.566,,5.0,1519759117748.0,93372601566.0
