row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.468.743.018.278,433.022.022.358,2468743018278.0,433022022358.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",2.412.032.818.200,8.568.241.494,2412032818200.0,8568241494.0
Phải trả từ việc cán trừ công nợ bên liên quan,Phải trả từ việc cán trừ công nợ bên liên quan,Phải trả từ việc cán trừ công nợ bên liên quan,7.793.744.458,3.316.974.533,7793744458.0,3316974533.0
Phí bảo trì,Phí bảo trì,Phí bảo trì,532.048.748,9.976.544.940,532048748.0,9976544940.0
Nhận thu hộ bên liên quan,Nhận thu hộ bên liên quan,Nhận thu hộ bên liên quan,-,387.964.800.000,,387964800000.0
Khác,Khác,Khác,48.384.406.872,23.195.461.391,48384406872.0,23195461391.0
Dài hạn,Dài hạn,Dài hạn,123.198.428.416,3.928.198.428.416,123198428416.0,3928198428416.0
Nhận góp vốn theo HĐHTKD,Nhận góp vốn theo HĐHTKD,Nhận góp vốn theo HĐHTKD,121.121.039.416,121.121.039.416,121121039416.0,121121039416.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",2.077.389.000,3.807.077.389.000,2077389000.0,3807077389000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.591.941.446.694,4.361.220.450.774,2591941446694.0,4361220450774.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả bên liên quan (Thuyết minh số 30),Phải trả bên liên quan (Thuyết minh số 30),2.543.845.273.856,4.331.517.048.389,2543845273856.0,4331517048389.0
Phải trả bên khác,Trong đó: > Phải trả bên khác,Phải trả bên khác,48.096.172.838,29.703.402.385,48096172838.0,29703402385.0
