row_label_raw,row_label_full,col_0,Phương tiênvận tải,Thiết bịvăn phòng,Tài sảncố định khác,VNDTổng cộng,numeric__Phương tiênvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.640.924.625,10.595.855.177,965.494.220,25.202.274.022,13640924625.0,10595855177.0,965494220.0,25202274022.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,940.123.000,-,940.123.000,,940123000.0,,940123000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,13.640.924.625,11.535.978.177,965.494.220,26.142.397.022,13640924625.0,11535978177.0,965494220.0,26142397022.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,11.555.570.080,10.053.689.721,965.494.220,22.574.754.021,11555570080.0,10053689721.0,965494220.0,22574754021.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.952.457.380),(10.322.152.398),(959.470.230),(23.234.080.008),-11952457380.0,-10322152398.0,-959470230.0,-23234080008.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(1.140.776.883),(272.424.940),(6.023.990),(1.419.225.813),-1140776883.0,-272424940.0,-6023990.0,-1419225813.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(13.093.234.263),(10.594.577.338),(965.494.220),(24.653.305.821),-13093234263.0,-10594577338.0,-965494220.0,-24653305821.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.688.467.245,273.702.779,6.023.990,1.968.194.014,1688467245.0,273702779.0,6023990.0,1968194014.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,547.690.362,941.400.839,-,1.489.091.201,547690362.0,941400839.0,,1489091201.0
