row_label_raw,row_label_full,"Phải thu từ bên khác- Các khách hàng mua căn hộ- Công ty Cổ phần Dịch vụ và Đầu tư Đông Nam Bộ (""Đông Nam Bộ"")- Khách hàng khác > Phải thu từ bên liên quan (Thuyết minh số 30)",Số cuối năm > 143.802.423.681102.678.159.873 > 38.115.689.0313.008.574.777 > 2.623.099.961,VND Số đầu năm > 144.303.248.293102.910.258.200 > 38.115.689.0313.277.301.062 > 271.099.961,numeric__Số cuối năm > 143.802.423.681102.678.159.873 > 38.115.689.0313.008.574.777 > 2.623.099.961,numeric__VND Số đầu năm > 144.303.248.293102.910.258.200 > 38.115.689.0313.277.301.062 > 271.099.961
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,146.425.523.642,144.574.348.254,146425523642.0,144574348254.0
Dự phòng phải thu ngắn hạn khó đòi(Thuyết minh số 9),Dự phòng phải thu ngắn hạn khó đòi(Thuyết minh số 9),Dự phòng phải thu ngắn hạn khó đòi(Thuyết minh số 9),(38.463.114.371),(38.463.114.371),-38463114371.0,-38463114371.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,107.962.409.271,106.111.233.883,107962409271.0,106111233883.0
