row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,6.117.790.020.000,80.398.440.806,(2.500.560.000),104.389.042.202,2.164.935.476.385,8.465.012.419.393,6117790020000.0,80398440806.0,-2500560000.0,104389042202.0,2164935476385.0,8465012419393.0
Phát hành cổ phiếu cho cổ đông hiện hữu,Năm trước > Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,1.016.719.190.000,202.754.898.000,-,-,-,1.219.474.088.000,1016719190000.0,202754898000.0,,,,1219474088000.0
"Phát hành cổ phiếu cho người lao động theo chương trình lựa chọn người lao động (""ESOP"")","Năm trước > Phát hành cổ phiếu cho người lao động theo chương trình lựa chọn người lao động (""ESOP"")","Phát hành cổ phiếu cho người lao động theo chương trình lựa chọn người lao động (""ESOP"")",90.000.000.000,-,-,-,(90.000.000.000),-,90000000000.0,,,,-90000000000.0,
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,3.439.665.784,(3.439.665.784),-,,,,3439665784.0,-3439665784.0,
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(5.159.498.676),(5.159.498.676),,,,,-5159498676.0,-5159498676.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,252.180.459.802,252.180.459.802,,,,,252180459802.0,252180459802.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.224.509.210.000,283.153.338.806,(2.500.560.000),107.828.707.986,2.318.516.771.727,9.931.507.468.519,7224509210000.0,283153338806.0,-2500560000.0,107828707986.0,2318516771727.0,9931507468519.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.224.509.210.000,283.153.338.806,(2.500.560.000),107.828.707.986,2.318.516.771.727,9.931.507.468.519,7224509210000.0,283153338806.0,-2500560000.0,107828707986.0,2318516771727.0,9931507468519.0
Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh số 4),Năm nay > Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh số 4),Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh số 4),2.436.465.480.000,1.102.915.555.516,-,-,-,3.539.381.035.516,2436465480000.0,1102915555516.0,,,,3539381035516.0
Phát hành cổ phiếu thường (Thuyết minh số 4),Năm nay > Phát hành cổ phiếu thường (Thuyết minh số 4),Phát hành cổ phiếu thường (Thuyết minh số 4),1.480.342.060.000,(280.342.060.000),-,-,(1.200.000.000.000),-,1480342060000.0,-280342060000.0,,,-1200000000000.0,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(5.118.700.036),(5.118.700.036),,,,,-5118700036.0,-5118700036.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,(120.776.056.156),(120.776.056.156),,,,,-120776056156.0,-120776056156.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.141.316.750.000,1.105.726.834.322,(2.500.560.000),107.828.707.986,992.622.015.535,13.344.993.747.843,11141316750000.0,1105726834322.0,-2500560000.0,107828707986.0,992622015535.0,13344993747843.0
