row_label_raw,row_label_full,STT,Tên công ty con,Tên viết tắt,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con,numeric__Tên viết tắt,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%)
23,23,23,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Bình Phước,Bình Phước,Kinh doanh BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
24,24,24,Công ty TNHH MTV Cara Legend,Cara Legend,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
25,25,25,Công ty Cổ phần Dịch vụ Bất động sản DMH Group,DMH Group,Kinh doanh BĐS,Đang hoạt động,"65,12",,,,,65.12
26,26,26,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DXS,Kinh doanh và môi giới BĐS,Đang hoạt động,59,,,,,59.0
27,27,27,Công ty TNHH MTV Đất Xanh Tech,Đất Xanh Tech,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
28,28,28,Công ty TNHH Đất Xanh Finance,Đất Xanh Finance,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
29,29,29,Công ty TNHH Athena Invest,Athena,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
30,30,30,Công ty Cổ phần Regal Group,Đất Xanh Miền Trung,Kinh doanh và môi giới BĐS,Đang hoạt động,55,,,,,55.0
31,31,31,Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Kinh doanh và môi giới BĐS,Đang hoạt động,"63,5",,,,,63.5
32,32,32,Công Ty Cổ Phần Cara Group,Đất Xanh Miền Tây,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
33,33,33,Công ty Cổ phần Địa ốc Viethomes,Viethomes,Kinh doanh và môi giới BĐS,Đang hoạt động,"55,79",,,,,55.79
34,34,34,Công ty Cổ phần Phát Triển Địa ốc Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,71,,,,,71.0
35,35,35,Công ty Cổ phần Bất động sản Bắc Trung Bộ,BĐS Bắc Trung Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
36,36,36,Công ty Cổ phần Kinh doanh và Đầu tư Đất Xanh Miền Trung,Đỏ Thị Thông Minh,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
37,37,37,Công ty Cổ phần Bất động sản Nam Miền Trung,Đất Xanh Nam Miền Trung,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
38,38,38,Công ty Cổ phần Bất động sản Duyên Hải,Đất Xanh Duyên Hải,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
39,39,39,Công ty Cổ phần Phát triển Bất động sản Emerald,Đất Xanh Emerald,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
40,40,40,Công ty TNHH MTV Phát triển Đỏ thị Quảng Ngãi,Đất Xanh Quảng Ngãi,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
41,41,41,Công ty Cổ phần DXMD Việt Nam,Đất Xanh Miền Đông,Kinh doanh và môi giới BĐS,Đang hoạt động,61,,,,,61.0
42,42,42,Công ty Cổ phần Dịch vụ Đất Xanh Miền Tây,BĐS Cần Thơ,Kinh doanh và môi giới BĐS,Đang hoạt động,"55,23",,,,,55.23
43,43,43,Công ty Cổ phần Dịch vụ Bất động sản Nam Miền Tây,BĐS Nam Miền Tây,Kinh doanh và môi giới BĐS,Đang hoạt động,65,,,,,65.0
44,44,44,Công ty TNHH Phát triển Đỏ thị Quảng Bình,Đất Xanh Quảng Bình,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
45,45,45,Công ty Cổ phần Đầu tư Đồng Nai,Đầu tư Đồng Nai,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
