row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 1.556.056.398.684 > 642.257.623.007,VNDNăm trước > 1.378.102.239.363 > 956.213.478.212,numeric__Năm nay > 1.556.056.398.684 > 642.257.623.007,numeric__VNDNăm trước > 1.378.102.239.363 > 956.213.478.212
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(2.059.471.101.219),(778.519.054.541),-2059471101219.0,-778519054541.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,157.079.528,259.735.650,157079528.0,259735650.0
Số cuối năm,Số cuối năm,Số cuối năm,139.000.000.000,1.556.056.398.684,139000000000.0,1556056398684.0
