row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trang hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trang hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trang hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (*)","Tên công ty con > Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (*)","Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"") (*)",Kinh doanh BĐS,Đang hoạt động,99.99,13.393.588.704.626,"99,99",10.095.488.704.626,,,9999.0,13393588704626.0,99.99,10095488704626.0
"Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"")","Tên công ty con > Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"")","Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"")",Môi giới BĐS,Đang hoạt động,55.37,2.000.603.604.073,"55,37",2.000.603.604.073,,,5537.0,2000603604073.0,55.37,2000603604073.0
"Công ty TNHH Đầu tư Bất động sản Phúc Hưng Phát (""Phúc Hưng Phát"")","Tên công ty con > Công ty TNHH Đầu tư Bất động sản Phúc Hưng Phát (""Phúc Hưng Phát"")","Công ty TNHH Đầu tư Bất động sản Phúc Hưng Phát (""Phúc Hưng Phát"")",Kinh doanh BĐS,Đang hoạt động,100,755.000.000.000,100,755.000.000.000,,,100.0,755000000000.0,100.0,755000000000.0
"Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")","Tên công ty con > Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")","Công ty TNHH Đầu tư DHG (""Đầu tư DHG"")",Đầu tư,Đang hoạt động,85,297.500.000.000,85,297.500.000.000,,,85.0,297500000000.0,85.0,297500000000.0
"Công ty TNHH MTV Đất Xanh Tech (""Đất Xanh Tech"")","Tên công ty con > Công ty TNHH MTV Đất Xanh Tech (""Đất Xanh Tech"")","Công ty TNHH MTV Đất Xanh Tech (""Đất Xanh Tech"")",Đầu tư,Đang làm thủ tục giải thể,100,11.280.000.000,100,10.620.000.000,,,100.0,11280000000.0,100.0,10620000000.0
"Công ty TNHH Athena Invest (""Anthena Invest"")","Tên công ty con > Công ty TNHH Athena Invest (""Anthena Invest"")","Công ty TNHH Athena Invest (""Anthena Invest"")",Đầu tư,Đang hoạt động,100,1.450.000.000,100,1.130.000.000,,,100.0,1450000000.0,100.0,1130000000.0
"Công ty TNHH Patheon Holdings (""Patheon Holdings"")","Tên công ty con > Công ty TNHH Patheon Holdings (""Patheon Holdings"")","Công ty TNHH Patheon Holdings (""Patheon Holdings"")",Đầu tư,Đang hoạt động,100,850.000.000,100,800.000.000,,,100.0,850000000.0,100.0,800000000.0
"Công ty TNHH Đất Xanh Finance (""Đất Xanh Finance"")","Tên công ty con > Công ty TNHH Đất Xanh Finance (""Đất Xanh Finance"")","Công ty TNHH Đất Xanh Finance (""Đất Xanh Finance"")",Đầu tư,Đang làm thủ tục giải thể,100,50.000.000,100,50.000.000,,,100.0,50000000.0,100.0,50000000.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,,16.460.322.308.699,,13.161.192.308.699,,,,16460322308699.0,,13161192308699.0
Dự phòng đầu tư vào công ty con,Tên công ty con > Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,,,,(10.608.503.836),,(10.565.030.639),,,,-10608503836.0,,-10565030639.0
GIÁ TRI THUÀN,Tên công ty con > GIÁ TRI THUÀN,GIÁ TRI THUÀN,,,,16.449.713.804.863,,13.150.627.278.060,,,,16449713804863.0,,13150627278060.0
