row_label_raw,row_label_full,Loại quỹ,Trích lập hàng năm,Số dư tối đa,Mục đích sử dụng,numeric__Trích lập hàng năm,numeric__Số dư tối đa,numeric__Mục đích sử dụng
Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,5% lợi nhuận sau thuế,100% vốn điều lệ,"Bổ sung vốn điều lệ, vốn được cấp",,,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,10% lợi nhuận sau thuế,Không quy định,"Bù đắp phần còn lại của những tổn thất, thiệt hại về tài sản xảy ra trong quá trình kinh doanh sau khi xử lý bằng dự phòng đã trích lập trước đó",,,
