row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Dưới 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Dưới 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,2.633,-,-,-,-,-,-,2.633,,2633.0,,,,,,,2633.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,1.178.325,-,-,-,-,-,1.178.325,,,1178325.0,,,,,,1178325.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,7.659.665,2.224.188,-,-,-,-,9.883.853,,,7659665.0,2224188.0,,,,,9883853.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),493.399,-,1.797.552,9.090.830,6.657.605,4.367.852,942.147,1.003.163,24.352.548,493399.0,,1797552.0,9090830.0,6657605.0,4367852.0,942147.0,1003163.0,24352548.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),131.000,1.273.250,-,,,140.000,,517.444,2.061.694,131000.0,1273250.0,,,,140000.0,,517444.0,2061694.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,454.206,-,-,-,-,-,-,454.206,,454206.0,,,,,,,454206.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,81.882,-,-,-,-,-,-,81.882,,81882.0,,,,,,,81882.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),371.136,4.455.950,-,-,-,-,-,-,4.827.086,371136.0,4455950.0,,,,,,,4827086.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,995.535,6.267.921,10.635.542,11.315.018,6.657.605,4.507.852,942.147,1.520.607,42.842.227,995535.0,6267921.0,10635542.0,11315018.0,6657605.0,4507852.0,942147.0,1520607.0,42842227.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,7.538.600,3.165.000,3.342.889,1.016.400,-,-,15.062.889,,,7538600.0,3165000.0,3342889.0,1016400.0,,,15062889.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,6.451,21.710,87.977,162.997,472.322,3.384.875,-,4.136.332,,6451.0,21710.0,87977.0,162997.0,472322.0,3384875.0,,4136332.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,13.371,-,-,-,-,-,-,13.371,,13371.0,,,,,,,13371.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,1.956.041,-,77.481,4.436.911,950.900,7.421.333,,,,1956041.0,,77481.0,4436911.0,950900.0,7421333.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,872.000,3.144.000,2.607.000,1.746.000,160.000,1.725.000,10.254.000,,,872000.0,3144000.0,2607000.0,1746000.0,160000.0,1725000.0,10254000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,257.164,92.596,625.156,-,-,-,-,974.916,,257164.0,92596.0,625156.0,,,,,974916.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,276.986,8.524.906,8.978.174,6.112.886,3.312.203,7.981.786,2.675.900,37.862.841,,276986.0,8524906.0,8978174.0,6112886.0,3312203.0,7981786.0,2675900.0,37862841.0
Mức chênh lệch lãi suất ròng,Nợ phải trả > Mức chênh lệch lãi suất ròng,Mức chênh lệch lãi suất ròng,995.535,5.990.935,2.110.636,2.336.844,544.719,1.195.649,(7.039.639),(1.155.293),4.979.386,995535.0,5990935.0,2110636.0,2336844.0,544719.0,1195649.0,-7039639.0,-1155293.0,4979386.0
