row_label_raw,row_label_full,col_0,2022triệu đồng,2021triệu đồng,numeric__2022triệu đồng,numeric__2021triệu đồng
Thu nhập của Hội đồng Quản trị,Thu nhập của Hội đồng Quản trị,Thu nhập của Hội đồng Quản trị,2.988,2.848,2988.0,2848.0
Thu nhập của Tổng giám đốc và Người quản lý khác,Thu nhập của Tổng giám đốc và Người quản lý khác,Thu nhập của Tổng giám đốc và Người quản lý khác,11.171,9.339,11171.0,9339.0
Thu nhập và chi phí hoạt động của Ban Kiểm soát,Thu nhập và chi phí hoạt động của Ban Kiểm soát,Thu nhập và chi phí hoạt động của Ban Kiểm soát,1.928,1.981,1928.0,1981.0
,,,16.087,14.168,16087.0,14168.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thu nhập của Hội Đồng Quản Trị,Trong đó: > Thu nhập của Hội Đồng Quản Trị,Thu nhập của Hội Đồng Quản Trị,2.988,2.848,2988.0,2848.0
Ông Hoàng Văn Ninh,Trong đó: > Ông Hoàng Văn Ninh,Ông Hoàng Văn Ninh,1.080,1.080,1080.0,1080.0
Bà Cao Thị Thu Hà,Trong đó: > Bà Cao Thị Thu Hà,Bà Cao Thị Thu Hà,648,648,648.0,648.0
Ông Lê Mạnh Linh,Trong đó: > Ông Lê Mạnh Linh,Ông Lê Mạnh Linh,420,420,420.0,420.0
Bà Nguyễn Thúy Trang,Trong đó: > Bà Nguyễn Thúy Trang,Bà Nguyễn Thúy Trang,420,420,420.0,420.0
Ông Phạm Trung Kiên,Trong đó: > Ông Phạm Trung Kiên,Ông Phạm Trung Kiên,420,280,420.0,280.0
Thu nhập của Tổng giám đốc và Người quản lý khác,Trong đó: > Thu nhập của Tổng giám đốc và Người quản lý khác,Thu nhập của Tổng giám đốc và Người quản lý khác,11.171,9.339,11171.0,9339.0
Ông Nguyễn Hoàng Hải,Trong đó: > Ông Nguyễn Hoàng Hải,Ông Nguyễn Hoàng Hải,2.346,1.642,2346.0,1642.0
Ông Lê Anh Tuấn,Trong đó: > Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,1.481,1.098,1481.0,1098.0
Ông Hoàng Thế Hưng,Trong đó: > Ông Hoàng Thế Hưng,Ông Hoàng Thế Hưng,2.016,2.826,2016.0,2826.0
Ông Đào Lê Huy,Trong đó: > Ông Đào Lê Huy,Ông Đào Lê Huy,1.535,1.069,1535.0,1069.0
Ông Mai Danh Hiền,Trong đó: > Ông Mai Danh Hiền,Ông Mai Danh Hiền,1.353,962,1353.0,962.0
Ông Lâm Nguyễn Thiện Nhơn,Trong đó: > Ông Lâm Nguyễn Thiện Nhơn,Ông Lâm Nguyễn Thiện Nhơn,931,708,931.0,708.0
Ông Mai Xuân Đông,Trong đó: > Ông Mai Xuân Đông,Ông Mai Xuân Đông,713,539,713.0,539.0
Ông Tổng Nhật Linh,Trong đó: > Ông Tổng Nhật Linh,Ông Tổng Nhật Linh,796,495,796.0,495.0
Thu nhập của Ban Kiểm soát,Trong đó: > Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,1.800,1.720,1800.0,1720.0
Ông Nguyễn Quốc Tuấn,Trong đó: > Ông Nguyễn Quốc Tuấn,Ông Nguyễn Quốc Tuấn,780,780,780.0,780.0
Bà Đỗ Thị Hà,Trong đó: > Bà Đỗ Thị Hà,Bà Đỗ Thị Hà,540,540,540.0,540.0
Ông Lê Long Giang,Trong đó: > Ông Lê Long Giang,Ông Lê Long Giang,240,160,240.0,160.0
Ông Nguyễn Xuân Điệp,Trong đó: > Ông Nguyễn Xuân Điệp,Ông Nguyễn Xuân Điệp,240,240,240.0,240.0
