row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,31/12/2022 triệu đồng,31/12/2021 triệu đồng,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__31/12/2022 triệu đồng,numeric__31/12/2021 triệu đồng
Công ty CP Bánh kẹo Hải Hà,Công ty CP Bánh kẹo Hải Hà,Công ty CP Bánh kẹo Hải Hà,Thành viên HĐQT của EVF là Chủ tịch HĐQT của Công ty CP Bánh kẹo Hải Hà,Trái phiếu do Bên liên quan phát hành nằm giữ bởi Công tyCổ phiếu của Bên liên quan nằm giữ bởi Công tyLãi phải thu từ trái phiếu,-75.789-,100.00075.7892.872,,,,100000757892872.0
Công ty Cổ phần Quản lý Quỹ Amber,Công ty Cổ phần Quản lý Quỹ Amber,Công ty Cổ phần Quản lý Quỹ Amber,Thành viên HĐQT của EVF là Chủ tịch HĐQT của Công ty CP Quản lý Quỹ Amber,Tiền gửi có kỳ hạnGiấy tờ có giá Bên liên quan nằm giữ do phát hành bởi Công tyPhải trả lãi tiền gửi,84.000179.0004.165,--,,,840001790004165.0,
Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,Chi tiết giao dịch trọng yếu với các bên liên quan trong năm tài chính kết thúc ngày 31 tháng 12 năm 2022 như sau:,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,2022 triệu đồng,2021 triệu đồng,,,,
Công ty CP Bánh kẹo Hải Hà,Bên liên quan > Công ty CP Bánh kẹo Hải Hà,Công ty CP Bánh kẹo Hải Hà,Thành viên HĐQT của EVF là Chủ tịch HĐQT của Công ty CP Bánh kẹo Hải Hà,Thu nhập lãi từ đầu tư trái phiếu,4.621,14.327,,,4621.0,14327.0
Công ty Cổ phần Quản lý Quỹ Amber,Bên liên quan > Công ty Cổ phần Quản lý Quỹ Amber,Công ty Cổ phần Quản lý Quỹ Amber,Thành viên HĐQT của EVF là Chủ tịch HĐQT của Công ty CP Quản lý Quỹ Amber,Chỉ phí lãi tiền gửi,1.557,1.031,,,1557.0,1031.0
