row_label_raw,row_label_full,col_0,31/12/2022triệu đồng,31/12/2021triệu đồng,numeric__31/12/2022triệu đồng,numeric__31/12/2021triệu đồng
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,8.429.000,6.060.000,8429000.0,6060000.0
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,1.079.000,800.000,1079000.0,800000.0
Bằng VND,Bằng VND,Bằng VND,1.079.000,800.000,1079000.0,800000.0
Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,7.350.000,5.260.000,7350000.0,5260000.0
Bằng VND,Bằng VND,Bằng VND,7.350.000,5.260.000,7350000.0,5260000.0
Trái phiếu,Trái phiếu,Trái phiếu,1.825.000,-,1825000.0,
Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,Từ 12 tháng đến 5 năm,100.000,-,100000.0,
Bằng VND,Bằng VND,Bằng VND,100.000,-,100000.0,
Trên 5 năm,Trên 5 năm,Trên 5 năm,1.725.000,-,1725000.0,
Bằng VND,Bằng VND,Bằng VND,1.725.000,-,1725000.0,
,,,10.254.000,6.060.000,10254000.0,6060000.0
