row_label_raw,row_label_full,col_0,2022triệu đồng,2021triệu đồng,numeric__2022triệu đồng,numeric__2021triệu đồng
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,455.346,411.618,455346.0,411618.0
Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,(7.553),(6.383),-7553.0,-6383.0
Điều chỉnh tăng lợi nhuận tính thuế:,Điều chỉnh tăng lợi nhuận tính thuế:,Điều chỉnh tăng lợi nhuận tính thuế:,5.079,4.062,5079.0,4062.0
- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,3.626,2.547,3626.0,2547.0
- Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ tại thời điểm cuối năm,- Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ tại thời điểm cuối năm,- Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ tại thời điểm cuối năm,1.453,1.515,1453.0,1515.0
Điều chỉnh giảm lợi nhuận tính thuế:,Điều chỉnh giảm lợi nhuận tính thuế:,Điều chỉnh giảm lợi nhuận tính thuế:,(12.632),(10.445),-12632.0,-10445.0
- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,(11.117),(9.268),-11117.0,-9268.0
- Lỗ chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,- Lỗ chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,- Lỗ chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,(1.515),(1.177),-1515.0,-1177.0
Tổng lợi nhuận chịu thuế,Tổng lợi nhuận chịu thuế,Tổng lợi nhuận chịu thuế,447.793,405.235,447793.0,405235.0
Thuế suất,Thuế suất,Thuế suất,20%,20%,0.2,0.2
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,89.559,81.047,89559.0,81047.0
Thuế TNDN còn phải trả đầu năm,Thuế TNDN còn phải trả đầu năm,Thuế TNDN còn phải trả đầu năm,51.047,32.037,51047.0,32037.0
Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,(71.047),(62.037),-71047.0,-62037.0
Thuế TNDN còn phải nộp,Thuế TNDN còn phải nộp,Thuế TNDN còn phải nộp,69.559,51.047,69559.0,51047.0
