row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc triệu đồng","Máy móc, thiết bị triệu đồng",Phương tiện vận tải triệu đồng,"Thiết bị, dụng cụ quản lý triệu đồng",Tài sản cố định hữu hình khác triệu đồng,Tổng cộng triệu đồng,"numeric__Nhà cửa, vật kiến trúc triệu đồng","numeric__Máy móc, thiết bị triệu đồng",numeric__Phương tiện vận tải triệu đồng,"numeric__Thiết bị, dụng cụ quản lý triệu đồng",numeric__Tài sản cố định hữu hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.280,49.873,23.875,24.951,1.676,108.655,8280.0,49873.0,23875.0,24951.0,1676.0,108655.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.209,-,38,139,1.386,,1209.0,,38.0,139.0,1386.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(818),(2.264),(582),-,(3.664),,-818.0,-2264.0,-582.0,,-3664.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.280,50.264,21.611,24.407,1.815,106.377,8280.0,50264.0,21611.0,24407.0,1815.0,106377.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.793,27.423,23.092,17.716,1.282,71.306,1793.0,27423.0,23092.0,17716.0,1282.0,71306.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,331,4.880,730,2.341,27,8.309,331.0,4880.0,730.0,2341.0,27.0,8309.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(818),(2.264),(582),-,(3.664),,-818.0,-2264.0,-582.0,,-3664.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.124,31.485,21.558,19.475,1.309,75.951,2124.0,31485.0,21558.0,19475.0,1309.0,75951.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.487,22.450,783,7.235,394,37.349,6487.0,22450.0,783.0,7235.0,394.0,37349.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.156,18.779,53,4.932,506,30.426,6156.0,18779.0,53.0,4932.0,506.0,30426.0
