row_label_raw,row_label_full,col_0,Quyền sử dụng đất vô thời hạn triệu đồng,Phần mềm máy vi tính triệu đồng,Tài sản cố định vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất vô thời hạn triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__Tài sản cố định vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.244,65.165,2.036,85.445,18244.0,65165.0,2036.0,85445.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,6.722,1.172,7.894,,6722.0,1172.0,7894.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(842),(76),(918),,-842.0,-76.0,-918.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.244,71.045,3.132,92.421,18244.0,71045.0,3132.0,92421.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,34.737,357,35.094,,34737.0,357.0,35094.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,6.410,379,6.789,,6410.0,379.0,6789.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(842),(76),(918),,-842.0,-76.0,-918.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,40.305,660,40.965,,40305.0,660.0,40965.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.244,30.428,1.679,50.351,18244.0,30428.0,1679.0,50351.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.244,30.740,2.472,51.456,18244.0,30740.0,2472.0,51456.0
