row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 130 + 140 + 150) \),100,,420.288.093.958,424.523.968.595,100.0,,420288093958.0,424523968595.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,183.968.394.573,184.263.314.045,110.0,4.0,183968394573.0,184263314045.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,100.522.622.192,37.813.314.045,111.0,,100522622192.0,37813314045.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,83.445.772.381,146.450.000.000,112.0,,83445772381.0,146450000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,215.957.868.264,231.590.012.829,130.0,,215957868264.0,231590012829.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5,68.319.768.482,74.163.146.831,131.0,5.0,68319768482.0,74163146831.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,552.493.695,1.088.412.882,132.0,,552493695.0,1088412882.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,6,55.845.368.923,67.061.175.053,135.0,6.0,55845368923.0,67061175053.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,7,91.558.565.685,89.595.606.584,136.0,7.0,91558565685.0,89595606584.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(318.328.521),(318.328.521),137.0,,-318328521.0,-318328521.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8,7.724.368.568,5.587.483.917,140.0,8.0,7724368568.0,5587483917.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,7.724.368.568,5.587.483.917,141.0,,7724368568.0,5587483917.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,12.637.462.553,3.083.157.804,150.0,,12637462553.0,3083157804.0
Thuế giá trị gia tăng được khẩu trừ,TÀI SẢN > Thuế giá trị gia tăng được khẩu trừ,Thuế giá trị gia tăng được khẩu trừ,152,14(a),12.637.462.553,3.083.157.804,152.0,,12637462553.0,3083157804.0
