row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,165.508.764.190,12.382.787.273,245.874.348.840,2.112.567.065,425.878.467.368,165508764190.0,12382787273.0,245874348840.0,2112567065.0,425878467368.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,11.925.547.273,-,-,11.925.547.273,,11925547273.0,,,11925547273.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(7.586.084.293),-,(7.586.084.293),,,-7586084293.0,,-7586084293.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,165.508.764.190,24.308.334.546,238.288.264.547,2.112.567.065,430.217.930.348,165508764190.0,24308334546.0,238288264547.0,2112567065.0,430217930348.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,139.872.789.310,8.598.334.853,199.609.557.117,1.632.868.840,349.713.550.120,139872789310.0,8598334853.0,199609557117.0,1632868840.0,349713550120.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.009.987.188,2.247.931.286,14.425.877.376,126.306.852,21.810.102.702,5009987188.0,2247931286.0,14425877376.0,126306852.0,21810102702.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(7.586.084.293),-,(7.586.084.293),,,-7586084293.0,,-7586084293.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,144.882.776.498,10.846.266.139,206.449.350.200,1.759.175.692,363.937.568.529,144882776498.0,10846266139.0,206449350200.0,1759175692.0,363937568529.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,25.635.974.880,3.784.452.420,46.264.791.723,479.698.225,76.164.917.248,25635974880.0,3784452420.0,46264791723.0,479698225.0,76164917248.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,20.625.987.692,13.462.068.407,31.838.914.347,353.391.373,66.280.361.819,20625987692.0,13462068407.0,31838914347.0,353391373.0,66280361819.0
