row_label_raw,row_label_full,col_0,Mãsố,2019VND,2018VND,numeric__Mãsố,numeric__2019VND,numeric__2018VND
LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận trước thuếĐiều chỉnh cho các khoản,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuếĐiều chỉnh cho các khoản,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,169.060.753.492,146.059.200.667,1.0,169060753492.0,146059200667.0
Khấu hao và phân bổ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,23.039.041.602,29.604.069.698,2.0,23039041602.0,29604069698.0
Lãi chênh lệch tỷ giá do đánh giá lạicác khoản mục tiến tệ có gốc ngoại tệ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá do đánh giá lạicác khoản mục tiến tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá do đánh giá lạicác khoản mục tiến tệ có gốc ngoại tệ,04,(58.830.529),(226.501.018),4.0,-58830529.0,-226501018.0
Lãi từ hoạt động đầu tư,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(78.561.085.928),(35.876.481.043),5.0,-78561085928.0,-35876481043.0
Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,08,113.479.878.637,139.560.288.304,8.0,113479878637.0,139560288304.0
Biến động các khoản phải thu,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,(39.662.190.755),4.222.049.138,9.0,-39662190755.0,4222049138.0
Biến động hàng tồn kho,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(2.136.884.651),(45.999.155),10.0,-2136884651.0,-45999155.0
Biến động các khoản phải trả và nợ phải trả khác,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,51.594.161.434,27.078.743.227,11.0,51594161434.0,27078743227.0
Biến động chi phí trả trước,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,(5.006.664.735),3.305.999.197,12.0,-5006664735.0,3305999197.0
,,,,118.268.299.930,174.121.080.711,,118268299930.0,174121080711.0
Thuế thu nhập doanh nghiệp đã nộp,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(22.408.051.613),(25.698.462.771),15.0,-22408051613.0,-25698462771.0
Tiền chi khác cho hoạt động kinh doanh,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(21.661.249.840),(19.416.810.517),17.0,-21661249840.0,-19416810517.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,74.198.998.477,129.005.807.423,20.0,74198998477.0,129005807423.0
LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Tiền chi mua sắm tài sản cố định vàtài sản dài hạn khác,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm tài sản cố định vàtài sản dài hạn khác,Tiền chi mua sắm tài sản cố định vàtài sản dài hạn khác,21,(11.925.547.273),(2.557.209.546),21.0,-11925547273.0,-2557209546.0
Tiền thu từ thanh lý tài sản cố định,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,481.818.180,236.363.635,22.0,481818180.0,236363635.0
Tiền chi cho vay,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay,Tiền chi cho vay,23,(19.000.000.000),(24.000.000.000),23.0,-19000000000.0,-24000000000.0
Tiền thu hồi cho vay,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay,Tiền thu hồi cho vay,24,41.072.204.181,12.345.945.612,24.0,41072204181.0,12345945612.0
Tiền chi đầu tư góp vốn vào các đơn vị khác,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào các đơn vị khác,Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(30.000.000.000),(13.400.000.000),25.0,-30000000000.0,-13400000000.0
"Tiền thu lãi tiền gửi, lãi cho vay và cổ tức","LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi, lãi cho vay và cổ tức","Tiền thu lãi tiền gửi, lãi cho vay và cổ tức",27,63.972.639.819,27.616.131.311,27.0,63972639819.0,27616131311.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,44.601.114.907,241.231.012,30.0,44601114907.0,241231012.0
