row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,501.123.040.000,36.141.891.246,604.734.369.757,183.508.624.111,1.325.507.925.114,501123040000.0,36141891246.0,604734369757.0,183508624111.0,1325507925114.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,120.162.565.535,120.162.565.535,,,,120162565535.0,120162565535.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,42.000.000.000,(42.000.000.000),-,,,42000000000.0,-42000000000.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,(11.793.365.214),(11.793.365.214),,,,-11793365214.0,-11793365214.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(100.224.608.000),(100.224.608.000),,,,-100224608000.0,-100224608000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.228.000.000),(2.228.000.000),,,,-2228000000.0,-2228000000.0
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,501.123.040.000,36.141.891.246,646.734.369.757,147.425.216.432,1.331.424.517.435,501123040000.0,36141891246.0,646734369757.0,147425216432.0,1331424517435.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,146.632.646.730,146.632.646.730,,,,146632646730.0,146632646730.0
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,(11.027.000.000),(11.027.000.000),,,,-11027000000.0,-11027000000.0
Cổ tức (Thuyết minh 19),Cổ tức (Thuyết minh 19),Cổ tức (Thuyết minh 19),50.104.940.000,-,-,(169.371.634.400),(119.266.694.400),50104940000.0,,,-169371634400.0,-119266694400.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.650.000.000),(2.650.000.000),,,,-2650000000.0,-2650000000.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,551.227.980.000,36.141.891.246,646.734.369.757,111.009.228.762,1.345.113.469.765,551227980000.0,36141891246.0,646734369757.0,111009228762.0,1345113469765.0
