row_label_raw,row_label_full,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,01,col_2,11.466.794.698.617,11.243.489.707.213,numeric__01,numeric__col_2,numeric__11.466.794.698.617,numeric__11.243.489.707.213
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.113.338.463.424,1.035.105.570.071,2.0,,1113338463424.0,1035105570071.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,,155.054.167.681,201.206.065.116,3.0,,155054167681.0,201206065116.0
Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,1.510.592.199,(8.506.037.811),4.0,,1510592199.0,-8506037811.0
"Thu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ từ hoạt động đầu tư khác","Thu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ từ hoạt động đầu tư khác","Thu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ từ hoạt động đầu tư khác",05,,(1.617.838.589.162),(1.654.444.444.536),5.0,,-1617838589162.0,-1654444444536.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,VI.4,289.972.001.368,227.618.556.891,6.0,,289972001368.0,227618556891.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,11.408.831.334.127,11.044.469.416.944,8.0,,11408831334127.0,11044469416944.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,,(133.439.350.148),44.926.814.930,9.0,,-133439350148.0,44926814930.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(725.457.016.090),456.078.350.449,10.0,,-725457016090.0,456078350449.0
Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(286.915.893.560),326.630.261.710,11.0,,-286915893560.0,326630261710.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,,(269.139.765.264),76.017.707.729,12.0,,-269139765264.0,76017707729.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(274.593.598.630),(287.004.644.127),14.0,,-274593598630.0,-287004644127.0
Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,V.13,(1.353.040.369.936),(1.997.458.922.345),15.0,,-1353040369936.0,-1997458922345.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(675.543.695.238),(817.840.719.540),17.0,,-675543695238.0,-817840719540.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,7.690.701.645.261,8.845.818.265.750,20.0,,7690701645261.0,8845818265750.0
