row_label_raw,row_label_full,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,(1.029.529.085.769),(671.303.275.149),numeric__21,numeric__(1.029.529.085.769),numeric__(671.303.275.149)
Tiền thu từ thanh lý tài sản cố định và xây dựng cơ bản dở dang,Tiền thu từ thanh lý tài sản cố định và xây dựng cơ bản dở dang,Tiền thu từ thanh lý tài sản cố định và xây dựng cơ bản dở dang,22,8.043.878.692,7.837.715.519,22.0,8043878692.0,7837715519.0
Tiền chi tiền gửi có kì hạn,Tiền chi tiền gửi có kì hạn,Tiền chi tiền gửi có kì hạn,23,-,(2.310.000.000.000),23.0,,-2310000000000.0
Tiền thu từ tiền gửi có kỳ hạn,Tiền thu từ tiền gửi có kỳ hạn,Tiền thu từ tiền gửi có kỳ hạn,24,2.480.000.000.000,-,24.0,2480000000000.0,
Tiền chi đầu tư góp vốn vào công ty con và công ty liên kết,Tiền chi đầu tư góp vốn vào công ty con và công ty liên kết,Tiền chi đầu tư góp vốn vào công ty con và công ty liên kết,25,(421.094.220.000),-,25.0,-421094220000.0,
Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,27,1.571.241.822.856,1.740.624.672.263,27.0,1571241822856.0,1740624672263.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,2.608.662.395.779,(1.232.840.887.367),30.0,2608662395779.0,-1232840887367.0
