row_label_raw,row_label_full,col_0,Chi phí đất trả trước VND,Công cụ và dụng cụ VND,Chi phí cải tạo mặt bằng VND,Chi phí trả trước khác VND,Tổng VND,numeric__Chi phí đất trả trước VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí cải tạo mặt bằng VND,numeric__Chi phí trả trước khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,183.396.239.552,154.771.254.541,17.704.034.929,15.450.482.659,371.322.011.681,183396239552.0,154771254541.0,17704034929.0,15450482659.0,371322011681.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,188.812.927.784,183.388.691.060,7.109.408.925,379.311.027.769,,188812927784.0,183388691060.0,7109408925.0,379311027769.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,3.194.918.572,4.809.497.353,-,8.004.415.925,,3194918572.0,4809497353.0,,8004415925.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(7.216.089.803),(102.772.843.225),(31.233.131.073),(11.492.381.093),(152.714.445.194),-7216089803.0,-102772843225.0,-31233131073.0,-11492381093.0,-152714445194.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,176.180.149.749,244.006.257.672,174.669.092.269,11.067.510.491,605.923.010.181,176180149749.0,244006257672.0,174669092269.0,11067510491.0,605923010181.0
