row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.609.015.398.247,14.939.020.462.578,1.086.780.542.237,644.028.208.614,19.278.844.611.676,2609015398247.0,14939020462578.0,1086780542237.0,644028208614.0,19278844611676.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,32.127.792.026,286.844.723.610,22.010.453.176,36.677.733.545,377.660.702.357,32127792026.0,286844723610.0,22010453176.0,36677733545.0,377660702357.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,22.429.887.983,578.459.934.055,11.868.708.442,4.497.535.546,617.256.066.026,22429887983.0,578459934055.0,11868708442.0,4497535546.0,617256066026.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(4.232.315.434),(19.824.670.741),(26.710.505.889),(4.333.395.539),(55.100.887.603),-4232315434.0,-19824670741.0,-26710505889.0,-4333395539.0,-55100887603.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,89.000.000,-,(89.000.000),-,,89000000.0,,-89000000.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.659.340.762.822,15.784.589.449.502,1.093.949.197.966,680.781.082.166,20.218.660.492.456,2659340762822.0,15784589449502.0,1093949197966.0,680781082166.0,20218660492456.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.298.220.989.357,11.096.056.531.123,827.563.727.898,550.322.521.522,13.772.163.769.900,1298220989357.0,11096056531123.0,827563727898.0,550322521522.0,13772163769900.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,87.962.877.314,903.562.337.874,59.886.611.091,37.456.524.730,1.088.868.351.009,87962877314.0,903562337874.0,59886611091.0,37456524730.0,1088868351009.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(3.852.255.177),(18.878.433.346),(25.541.362.491),(3.369.110.966),(51.641.161.980),-3852255177.0,-18878433346.0,-25541362491.0,-3369110966.0,-51641161980.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,71.385.415,-,(71.385.415),-,,71385415.0,,-71385415.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.382.331.611.494,11.980.811.821.066,861.908.976.498,584.338.549.871,14.809.390.958.929,1382331611494.0,11980811821066.0,861908976498.0,584338549871.0,14809390958929.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.310.794.408.890,3.842.963.931.455,259.216.814.339,93.705.687.092,5.506.680.841.776,1310794408890.0,3842963931455.0,259216814339.0,93705687092.0,5506680841776.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.277.009.151.328,3.803.777.628.436,232.040.221.468,96.442.532.295,5.409.269.533.527,1277009151328.0,3803777628436.0,232040221468.0,96442532295.0,5409269533527.0
