row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,20.899.554.450.000,23.225.734.296,6.071.620.723.695,3.693.556.639.010,30.687.957.547.001,20899554450000.0,23225734296.0,6071620723695.0,3693556639010.0,30687957547001.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,9.262.413.822.949,9.262.413.822.949,,,,9262413822949.0,9262413822949.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,926.241.382.296,(926.241.382.296),-,,,926241382296.0,-926241382296.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(926.241.382.296),(926.241.382.296),,,,-926241382296.0,-926241382296.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(8.046.328.463.250),(8.046.328.463.250),,,,-8046328463250.0,-8046328463250.0
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,20.899.554.450.000,23.225.734.296,6.997.862.105.991,3.057.159.234.117,30.977.801.524.404,20899554450000.0,23225734296.0,6997862105991.0,3057159234117.0,30977801524404.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,9.359.349.635.629,9.359.349.635.629,,,,9359349635629.0,9359349635629.0
Hoàn nhập quỹ đầu tư phát triển (Thuyết minh IV.22(b)),Hoàn nhập quỹ đầu tư phát triển (Thuyết minh IV.22(b)),Hoàn nhập quỹ đầu tư phát triển (Thuyết minh IV.22(b)),-,-,(6.997.862.105.991),6.997.862.105.991,-,,,-6997862105991.0,6997862105991.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(935.934.963.563),(935.934.963.563),,,,-935934963563.0,-935934963563.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(10.136.283.908.250),(10.136.283.908.250),,,,-10136283908250.0,-10136283908250.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,20.899.554.450.000,23.225.734.296,-,8.342.152.103.924,29.264.932.288.220,20899554450000.0,23225734296.0,,8342152103924.0,29264932288220.0
