row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Mối quan hệ > Công ty con,Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định > Thu nhập khác > Lợi nhuận được chia,2025 VND > 1.980.219.298.295 > 2.123.832.146 > 42.442.000 > -,2024 VND > 1.945.691.457.299 > 821.194.890 > 97.319.500 > 250.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định > Thu nhập khác > Lợi nhuận được chia,numeric__2025 VND > 1.980.219.298.295 > 2.123.832.146 > 42.442.000 > -,numeric__2024 VND > 1.945.691.457.299 > 821.194.890 > 97.319.500 > 250.000.000.000
Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Mua hàng hóa và dịch vụ,425.283.211.900,444.830.795.300,,,425283211900.0,444830795300.0
Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Hỗ trợ bán hàng,500.957.100,451.457.740,,,500957100.0,451457740.0
Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Lợi nhuận được chia,47.228.506.346,-,,,47228506346.0,
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua hàng hóa và dịch vụ,18.115.891.622,18.619.355.000,,,18115891622.0,18619355000.0
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Hỗ trợ bán hàng,308.684.658,-,,,308684658.0,
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Cổ tức được chia,24.437.193.750,6.842.414.250,,,24437193750.0,6842414250.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Lợi nhuận được chia,362.530.228.520,223.488.805.572,,,362530228520.0,223488805572.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định,-,100.704.693,,,,100704693.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Mua hàng hóa,1.276.874.158,-,,,1276874158.0,
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Mua hàng hóa,357.846.448.196,299.152.572.265,,,357846448196.0,299152572265.0
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Góp vốn,358.196.000.000,-,,,358196000000.0,
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua hàng hóa và dịch vụ,668.087.671.644,572.830.389.827,,,668087671644.0,572830389827.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Cổ tức được chia,19.475.580.000,19.475.580.000,,,19475580000.0,19475580000.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua tài sản cố định,-,3.920.351.174,,,,3920351174.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Bán tài sản cố định,-,4.295.170.594,,,,4295170594.0
