row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Thương hiệuVND,Phần mềmmáy vi tínhVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Thương hiệuVND,numeric__Phần mềmmáy vi tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.582.565.109,-,159.270.186.543,216.852.751.652,57582565109.0,,159270186543.0,216852751652.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,61.688.107.485,1.425.754.600,63.113.862.085,,61688107485.0,1425754600.0,63113862085.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,-,6.970.292.700,6.970.292.700,,,6970292700.0,6970292700.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.582.565.109,61.688.107.485,167.666.233.843,286.936.906.437,57582565109.0,61688107485.0,167666233843.0,286936906437.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.608.069.186,-,137.556.894.300,149.164.963.486,11608069186.0,,137556894300.0,149164963486.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,15.422.026.871,7.366.191.264,22.788.218.135,,15422026871.0,7366191264.0,22788218135.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.608.069.186,15.422.026.871,144.923.085.564,171.953.181.621,11608069186.0,15422026871.0,144923085564.0,171953181621.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,45.974.495.923,-,21.713.292.243,67.687.788.166,45974495923.0,,21713292243.0,67687788166.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,45.974.495.923,46.266.080.614,22.743.148.279,114.983.724.816,45974495923.0,46266080614.0,22743148279.0,114983724816.0
