row_label_raw,row_label_full,col_0,1/1/2015VND(phân loại lại),1/1/2015VND(theo báo cáotrước đây),numeric__1/1/2015VND(phân loại lại),numeric__1/1/2015VND(theo báo cáotrước đây)
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,65.283.282.436,-,65283282436.0,
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,824.432.512.321,803.688.210.258,824432512321.0,803688210258.0
Đầu tư vào các công ty liên kết và liên doanh,Đầu tư vào các công ty liên kết và liên doanh,Đầu tư vào các công ty liên kết và liên doanh,317.972.437.657,325.220.122.483,317972437657.0,325220122483.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,380.012.236.959,,380012236959.0
Đầu tư vốn góp vào các đơn vị khác,Đầu tư vốn góp vào các đơn vị khác,Đầu tư vốn góp vào các đơn vị khác,11.628.368.600,-,11628368600.0,
Đầu tư nấm giữ đến ngày đáo hạn – dài hạn,Đầu tư nấm giữ đến ngày đáo hạn – dài hạn,Đầu tư nấm giữ đến ngày đáo hạn – dài hạn,346.596.000.000,-,346596000000.0,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,-,7.242.919.200,,7242919200.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,632.991.337.019,637.114.219.782,632991337019.0,637114219782.0
Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,-,77.333.769.500,,77333769500.0
Dự phòng ngắn hạn,Dự phòng ngắn hạn,Dự phòng ngắn hạn,4.122.882.763,-,4122882763.0,
Dự phòng dài hạn,Dự phòng dài hạn,Dự phòng dài hạn,77.333.769.500,-,77333769500.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,2.521.718.366.944,1.550.028.784.604,2521718366944.0,1550028784604.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,971.689.582.340,,971689582340.0
