row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Cơ sở hạ tầngVND,Nhà cửaVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Cơ sở hạ tầngVND,numeric__Nhà cửaVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,85.629.776.889,6.464.218.561,87.500.683.627,179.594.679.077,85629776889.0,6464218561.0,87500683627.0,179594679077.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,83.371.480,83.371.480,,,83371480.0,83371480.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(3.405.538.719),-,3.405.538.719,-,-3405538719.0,,3405538719.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,82.224.238.170,6.464.218.561,90.989.593.826,179.678.050.557,82224238170.0,6464218561.0,90989593826.0,179678050557.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.250.516.209,3.298.561.894,27.319.732.359,31.868.810.462,1250516209.0,3298561894.0,27319732359.0,31868810462.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,793.556.901,646.421.853,4.001.056.709,5.441.035.463,793556901.0,646421853.0,4001056709.0,5441035463.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(192.440.337),-,192.440.337,-,-192440337.0,,192440337.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.851.632.773,3.944.983.747,31.513.229.405,37.309.845.925,1851632773.0,3944983747.0,31513229405.0,37309845925.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,84.379.260.680,3.165.656.667,60.180.951.268,147.725.868.615,84379260680.0,3165656667.0,60180951268.0,147725868615.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,80.372.605.397,2.519.234.814,59.476.364.421,142.368.204.632,80372605397.0,2519234814.0,59476364421.0,142368204632.0
