row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chi phítrả trước khácVND,TổngcộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chi phítrả trước khácVND,numeric__TổngcộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.419.837.879,105.048.416.556,74.036.996.399,183.505.250.834,4419837879.0,105048416556.0,74036996399.0,183505250834.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,6.224.786.710,102.202.501.121,27.980.921.465,136.408.209.296,6224786710.0,102202501121.0,27980921465.0,136408209296.0
Phân loại lại (*),Phân loại lại (*),Phân loại lại (*),143.715.659.285,-,-,143.715.659.285,143715659285.0,,,143715659285.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,255.087.917,-,255.087.917,,255087917.0,,255087917.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,66.965.910.638,10.647.268.311,15.878.364.399,93.491.543.348,66965910638.0,10647268311.0,15878364399.0,93491543348.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(12.247.273.773),(72.244.006.630),(56.436.158.976),(140.927.439.379),-12247273773.0,-72244006630.0,-56436158976.0,-140927439379.0
Giảm khác,Giảm khác,Giảm khác,(114.505.958),-,-,(114.505.958),-114505958.0,,,-114505958.0
Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,796.790.162,42.823.598,156.421.158,996.034.918,796790162.0,42823598.0,156421158.0,996034918.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,209.761.204.943,145.952.090.873,61.616.544.445,417.329.840.261,209761204943.0,145952090873.0,61616544445.0,417329840261.0
