row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,KhácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,544.949.520.678,100.195.019.379,46.351.200.000,691.495.740.057,544949520678.0,100195019379.0,46351200000.0,691495740057.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.154.788.240,-,3.154.788.240,,3154788240.0,,3154788240.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,28.197.705.229,-,28.197.705.229,,28197705229.0,,28197705229.0
Phân loại lại (*),Nguyên giá > Phân loại lại (*),Phân loại lại (*),(182.506.098.103),-,-,(182.506.098.103),-182506098103.0,,,-182506098103.0
Chênh lệch chuyển đổi,Nguyên giá > Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,10.934.134.573,42.676.460,2.365.300.000,13.342.111.033,10934134573.0,42676460.0,2365300000.0,13342111033.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,373.377.557.148,131.590.189.308,48.716.500.000,553.684.246.456,373377557148.0,131590189308.0,48716500000.0,553684246456.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,62.163.807.772,63.336.171.579,27.788.728.385,153.288.707.736,62163807772.0,63336171579.0,27788728385.0,153288707736.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.150.783.526,13.414.498.720,2.337.209.276,18.902.491.522,3150783526.0,13414498720.0,2337209276.0,18902491522.0
Phân loại lại (*),Giá trị hao mòn lũy kế > Phân loại lại (*),Phân loại lại (*),(38.790.438.818),-,-,(38.790.438.818),-38790438818.0,,,-38790438818.0
Chênh lệch chuyển đổi,Giá trị hao mòn lũy kế > Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,19.285.565,711.277,1.474.241.197,1.494.238.039,19285565.0,711277.0,1474241197.0,1494238039.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.543.438.045,76.751.381.576,31.600.178.858,134.894.998.479,26543438045.0,76751381576.0,31600178858.0,134894998479.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,482.785.712.906,36.858.847.800,18.562.471.615,538.207.032.321,482785712906.0,36858847800.0,18562471615.0,538207032321.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,346.834.119.103,54.838.807.732,17.116.321.142,418.789.247.977,346834119103.0,54838807732.0,17116321142.0,418789247977.0
