row_label_raw,row_label_full,Công ty con,% quyền sở hữuvà quyền biểu quyết,% quyền sở hữuvà quyền biểu quyết_1,numeric__% quyền sở hữuvà quyền biểu quyết,numeric__% quyền sở hữuvà quyền biểu quyết_1
Công ty con,Công ty con,Công ty con,31/12/2015,1/1/2015,,
Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Công ty con > Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Công ty TNHH Một Thành viên Bò Sữa Việt Nam,"100,00%","100,00%",1.0,1.0
Công ty TNHH Một Thành viên Sữa Lam Sơn,Công ty con > Công ty TNHH Một Thành viên Sữa Lam Sơn,Công ty TNHH Một Thành viên Sữa Lam Sơn,"100,00%","100,00%",1.0,1.0
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Công ty con > Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,"100,00%","100,00%",1.0,1.0
Công ty TNHH Bò Sữa Thống Nhất Thanh Hóa,Công ty con > Công ty TNHH Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Bò Sữa Thống Nhất Thanh Hóa,"96,11%","96,11%",0.9611,0.9611
Driftwood Dairy Holdings Corporation,Công ty con > Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,"70,00%","70,00%",0.7,0.7
"Angkor Dairy Products Co., Ltd.","Công ty con > Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","51,00%","51,00%",0.51,0.51
Công ty TNHH Một Thành viên Đầu tư Bất động sản Quốc tế (*),Công ty con > Công ty TNHH Một Thành viên Đầu tư Bất động sản Quốc tế (*),Công ty TNHH Một Thành viên Đầu tư Bất động sản Quốc tế (*),-,"100,00%",,1.0
