row_label_raw,row_label_full,col_0,Thuế suất,31/12/2015 VND,1/1/2015 VND,numeric__Thuế suất,numeric__31/12/2015 VND,numeric__1/1/2015 VND
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,
Các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Các khoản phải thu,Các khoản phải thu,40%,2.328.882.180,2.215.809.359,0.4,2328882180.0,2215809359.0
Hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Hàng tồn kho,Hàng tồn kho,40%,1.157.574.623,1.101.371.596,0.4,1157574623.0,1101371596.0
Giá trị thuế của các khoản lỗ mang sang,Tài sản thuế thu nhập hoãn lại > Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,40%,45.291.725.188,43.092.703.189,0.4,45291725188.0,43092703189.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,40%,6.071.249.187,5.776.475.462,0.4,6071249187.0,5776475462.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,40%,497.765.891,473.598.162,0.4,497765891.0,473598162.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,55.347.197.069,52.659.957.768,,55347197069.0,52659957768.0
Dự phòng định giá,Tài sản thuế thu nhập hoãn lại > Dự phòng định giá,Dự phòng định giá,40%,(41.760.641.032),(39.733.061.646),0.4,-41760641032.0,-39733061646.0
Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,,13.586.556.037,12.926.896.122,,13586556037.0,12926896122.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,
Tài sản cố định và lợi thế thương mại,Thuế thu nhập hoãn lại phải trả > Tài sản cố định và lợi thế thương mại,Tài sản cố định và lợi thế thương mại,40%,(102.475.015.544),(97.499.607.507),0.4,-102475015544.0,-97499607507.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,40%,(145.658.743),(138.592.215),0.4,-145658743.0,-138592215.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,(102.620.674.287),(97.638.199.722),,-102620674287.0,-97638199722.0
Tổng thuế thu nhập hoãn lại phải trả thuần,Thuế thu nhập hoãn lại phải trả > Tổng thuế thu nhập hoãn lại phải trả thuần,Tổng thuế thu nhập hoãn lại phải trả thuần,,(89.034.118.250),(84.711.303.600),,-89034118250.0,-84711303600.0
