row_label_raw,row_label_full,col_0,2014VND(phân loại lại),2014VND(theo báo cáotrước đây),numeric__2014VND(phân loại lại),numeric__2014VND(theo báo cáotrước đây)
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,35.187.110.126.252,35.703.776.176.355,35187110126252.0,35703776176355.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,115.094.611.556,726.847.843.179,115094611556.0,726847843179.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,23.680.196.877.376,22.668.451.134.488,23680196877376.0,22668451134488.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,3.684.398.847.607,4.696.142.714.715,3684398847607.0,4696142714715.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,272.372.842.337,367.460.023.857,272372842337.0,367460023857.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,4.556,6.068,4556.0,6068.0
