row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,8.339.557.960.000,1.276.994.100.000,(5.068.507.959),-,1.784.193.779.612,6.149.811.983.770,22.863.933.884,17.568.353.249.307,8339557960000.0,1276994100000.0,-5068507959.0,,1784193779612.0,6149811983770.0,22863933884.0,17568353249307.0
Cổ phiếu thường đã phát hành,Cổ phiếu thường đã phát hành,Cổ phiếu thường đã phát hành,1.666.856.030.000,(1.276.994.100.000),-,-,-,(389.861.930.000),-,-,1666856030000.0,-1276994100000.0,,,,-389861930000.0,,
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(319.602.000),-,-,-,-,(319.602.000),,,-319602000.0,,,,,-319602000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.068.807.696.841,(604.730.533),6.068.202.966.308,,,,,,6068807696841.0,-604730533.0,6068202966308.0
Trích quỹ vốn chủ sở hữu,Trích quỹ vốn chủ sở hữu,Trích quỹ vốn chủ sở hữu,-,-,-,-,737.524.587.332,(737.524.587.332),-,-,,,,,737524587332.0,-737524587332.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(599.790.800.993),-,(599.790.800.993),,,,,,-599790800993.0,,-599790800993.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,(3.333.740.644.000),-,(3.333.740.644.000),,,,,,-3333740644000.0,,-3333740644000.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,103.941.744.900,103.941.744.900,,,,,,,103941744900.0,103941744900.0
Điều chỉnh,Điều chỉnh,Điều chỉnh,-,-,-,-,-,(2.250.341),(6.943.440.037),(6.945.690.378),,,,,,-2250341.0,-6943440037.0,-6945690378.0
Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,-,-,-,(161.099.075),-,-,696.359.439,535.260.364,,,,-161099075.0,,,696359439.0,535260364.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,10.006.413.990.000,-,(5.388.109.959),(161.099.075),2.521.718.366.944,7.157.699.467.945,119.953.867.653,19.800.236.483.508,10006413990000.0,,-5388109959.0,-161099075.0,2521718366944.0,7157699467945.0,119953867653.0,19800236483508.0
Cổ phiếu thường đã phát hành,Cổ phiếu thường đã phát hành,Cổ phiếu thường đã phát hành,2.000.207.940.000,-,-,-,-,(2.000.207.940.000),-,-,2000207940000.0,,,,,-2000207940000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,7.773.409.631.243,(3.856.879.546),7.769.552.751.697,,,,,,7773409631243.0,-3856879546.0,7769552751697.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,769.488.863.029,(769.488.863.029),-,-,,,,,769488863029.0,-769488863029.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(768.905.099.077),-,(768.905.099.077),,,,,,-768905099077.0,,-768905099077.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,(6.000.711.624.000),(1.549.950.354),(6.002.261.574.354),,,,,,-6000711624000.0,-1549950354.0,-6002261574354.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,107.476.398.854,107.476.398.854,,,,,,,107476398854.0,107476398854.0
Điều chỉnh,Điều chỉnh,Điều chỉnh,-,-,-,-,-,-,1.863.569.438,1.863.569.438,,,,,,,1863569438.0,1863569438.0
Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,-,-,-,8.490.698.397,-,-,7.462.519.122,15.953.217.519,,,,8490698397.0,,,7462519122.0,15953217519.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,12.006.621.930.000,-,(5.388.109.959),8.329.599.322,3.291.207.229.973,5.391.795.573.082,231.349.525.167,20.923.915.747.585,12006621930000.0,,-5388109959.0,8329599322.0,3291207229973.0,5391795573082.0,231349525167.0,20923915747585.0
