row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia sức VND,Khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia sức VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.296.128.990.261,7.992.774.970.718,674.101.116.647,448.105.106.689,307.446.353.636,64.092.546.411,11.782.649.084.362,2296128990261.0,7992774970718.0,674101116647.0,448105106689.0,307446353636.0,64092546411.0,11782649084362.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.547.977.409,41.759.551.821,49.900.300.862,21.481.804.211,-,8.419.634.038,132.109.268.341,10547977409.0,41759551821.0,49900300862.0,21481804211.0,,8419634038.0,132109268341.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,448.048.947.964,519.921.452.186,31.837.946.174,16.044.926.847,-,5.562.110.646,1.021.415.383.817,448048947964.0,519921452186.0,31837946174.0,16044926847.0,,5562110646.0,1021415383817.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,221.820.298.382,-,221.820.298.382,,,,,221820298382.0,,221820298382.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(933.081.871),940.749.973,287.777.159,(295.445.261),-,-,-,-933081871.0,940749973.0,287777159.0,-295445261.0,,,
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,(323.309.443),-,-,(323.309.443),,,,-323309443.0,,,-323309443.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(600.885.151),(13.582.608.144),(8.275.593.844),(1.296.330.831),(93.085.382.740),(141.702.039),(116.982.502.749),-600885151.0,-13582608144.0,-8275593844.0,-1296330831.0,-93085382740.0,-141702039.0,-116982502749.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(3.316.231.355),(16.665.388.098),(123.649.505),(81.659.493),-,-,(20.186.928.451),-3316231355.0,-16665388098.0,-123649505.0,-81659493.0,,,-20186928451.0
Chênh lệch chuyển đổi,Nguyên giá > Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,5.636.224.932,25.450.401.336,4.009.739.320,826.629.733,-,3.296.750.129,39.219.745.450,5636224932.0,25450401336.0,4009739320.0,826629733.0,,3296750129.0,39219745450.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.755.511.942.189,8.550.599.129.792,751.737.636.813,484.461.722.452,436.181.269.278,81.229.339.185,13.059.721.039.709,2755511942189.0,8550599129792.0,751737636813.0,484461722452.0,436181269278.0,81229339185.0,13059721039709.0
