row_label_raw,row_label_full,col_0,col_1,Loại tiền,Lãi suất năm,Năm đáo hạn,31/12/2015 VND,1/1/2015 VND,numeric__col_1,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2015 VND,numeric__1/1/2015 VND
Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,Wells Fargo,,,,,,
▪ Khoản vay 1,Wells Fargo > ▪ Khoản vay 1,▪ Khoản vay 1,(i),USD,"2,603%",2016,98.690.200.000,105.689.280.000,,,0.02603,2016.0,98690200000.0,105689280000.0
▪ Khoản vay 2,Wells Fargo > ▪ Khoản vay 2,▪ Khoản vay 2,(i),USD,"2,603%",2016,33.436.603.450,14.734.790.160,,,0.02603,2016.0,33436603450.0,14734790160.0
Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,Sumitomo Mitsui,,,,,,
Banking Corporation,Sumitomo Mitsui > Banking Corporation,Banking Corporation,(ii),USD,"2,065%",2017,246.950.000.000,234.960.000.000,,,0.020649999999999998,2017.0,246950000000.0,234960000000.0
Các cá nhân khác,Sumitomo Mitsui > Các cá nhân khác,Các cá nhân khác,(ii),VND,Không,2039,10.824.975.403,11.675.996.392,,,,2039.0,10824975403.0,11675996392.0
,,,,,,,389.901.778.853,367.060.066.552,,,,,389901778853.0,367060066552.0
