row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2019Triệu đồng,%,Ngày 31 tháng12 năm 2018Triệu đồng,%_1,numeric__Ngày 31 tháng12 năm 2019Triệu đồng,numeric__%,numeric__Ngày 31 tháng12 năm 2018Triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,1.922.461,"0,75",2.149.158,"0,97",1922461.0,0.75,2149158.0,0.97
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,412.867,"0,16",830.083,"0,37",412867.0,0.16,830083.0,0.37
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,27.830,"0,01",17.358,"0,01",27830.0,0.01,17358.0,0.01
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,41.273.951,"16,05",37.131.870,"16,73",41273951.0,16.05,37131870.0,16.73
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,269.930,"0,10",412.641,"0,19",269930.0,0.1,412641.0,0.19
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,61.696.189,"24,00",51.966.135,"23,41",61696189.0,24.0,51966135.0,23.41
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,440.954,"0,17",476.169,"0,22",440954.0,0.17,476169.0,0.22
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,114.211,"0,04",399.702,"0,18",114211.0,0.04,399702.0,0.18
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,60.566,"0,02",68.449,"0,03",60566.0,0.02,68449.0,0.03
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",150.954.341,"58,90",128.503.645,"57,89",150954341.0,58.9,128503645.0,57.89
"Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội",9.808,"0,00",5.826,"0,00",9808.0,0.0,5826.0,0.0
Khác,Khác,Khác,851,"0,00",960,"0,00",851.0,0.0,960.0,0.0
,,,257.183.959,100,221.961.996,100,257183959.0,100.0,221961996.0,100.0
