row_label_raw,row_label_full,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,col_7,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__col_7
Trên 3 thángTriệu đồng,Trên 3 thángTriệu đồng,Trên 3 thángTriệu đồng,Đến 3 thángTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,
-,Trên 3 thángTriệu đồng > -,-,-,2.459.321,-,-,-,-,2.459.321,,2459321.0,,,,,2459321.0
-,Trên 3 thángTriệu đồng > -,-,-,3.454.138,-,-,-,-,3.454.138,,3454138.0,,,,,3454138.0
-,Trên 3 thángTriệu đồng > -,-,-,13.211.393,4.043.768,2.813.935,28.457,-,20.097.553,,13211393.0,4043768.0,2813935.0,28457.0,,20097553.0
-,Trên 3 thángTriệu đồng > -,-,-,1.571.141,-,-,-,-,1.571.141,,1571141.0,,,,,1571141.0
4.852.390,Trên 3 thángTriệu đồng > 4.852.390,4.852.390,5.652.025,29.603.196,27.900.214,73.017.395,87.246.635,28.912.104,257.183.959,5652025.0,29603196.0,27900214.0,73017395.0,87246635.0,28912104.0,257183959.0
-,Trên 3 thángTriệu đồng > -,-,-,432.208,1.671.482,14.775.693,34.760.244,17.241.609,68.881.236,,432208.0,1671482.0,14775693.0,34760244.0,17241609.0,68881236.0
-,Trên 3 thángTriệu đồng > -,-,-,-,-,-,-,238.602,238.602,,,,,,238602.0,238602.0
-,Trên 3 thángTriệu đồng > -,-,-,-,-,-,-,1.922.972,1.922.972,,,,,,1922972.0,1922972.0
50.289,Trên 3 thángTriệu đồng > 50.289,50.289,-,13.872.250,2.810.371,8.943.654,3.864,58.112,25.738.540,,13872250.0,2810371.0,8943654.0,3864.0,58112.0,25738540.0
4.902.679,Trên 3 thángTriệu đồng > 4.902.679,4.902.679,5.652.025,64.603.647,36.425.835,99.550.677,122.039.200,48.373.399,381.547.462,5652025.0,64603647.0,36425835.0,99550677.0,122039200.0,48373399.0,381547462.0
-,Trên 3 thángTriệu đồng > -,-,-,42,2.181,17.269,-,-,19.492,,42.0,2181.0,17269.0,,,19492.0
-,Trên 3 thángTriệu đồng > -,-,-,12.688.215,8.570.212,26.893.447,2.707.640,8.475,50.867.989,,12688215.0,8570212.0,26893447.0,2707640.0,8475.0,50867989.0
-,Trên 3 thángTriệu đồng > -,-,-,72.194.564,45.823.631,86.335.987,9.594.026,1.360,213.949.568,,72194564.0,45823631.0,86335987.0,9594026.0,1360.0,213949568.0
-,Trên 3 thángTriệu đồng > -,-,-,16.296,(9.097),44.171,(5.700),-,45.670,,16296.0,-9097.0,44171.0,-5700.0,,45670.0
-,Trên 3 thángTriệu đồng > -,-,-,180,29.737,78.369,173.337,10.200,291.823,,180.0,29737.0,78369.0,173337.0,10200.0,291823.0
-,Trên 3 thángTriệu đồng > -,-,-,1.856.656,4.183.039,21.145.041,29.414.987,1.000.000,57.599.723,,1856656.0,4183039.0,21145041.0,29414987.0,1000000.0,57599723.0
-,Trên 3 thángTriệu đồng > -,-,-,11.094.243,322.570,750.269,53.037,-,12.220.119,,11094243.0,322570.0,750269.0,53037.0,,12220119.0
-,Trên 3 thángTriệu đồng > -,-,-,97.850.196,58.922.273,135.264.553,41.937.327,1.020.035,334.994.384,,97850196.0,58922273.0,135264553.0,41937327.0,1020035.0,334994384.0
4.902.679,Trên 3 thángTriệu đồng > 4.902.679,4.902.679,5.652.025,(33.246.549),(22.496.438),(35.713.876),80.101.873,47.353.364,46.553.078,5652025.0,-33246549.0,-22496438.0,-35713876.0,80101873.0,47353364.0,46553078.0
