row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2019Triệu đồng,%,Ngày 31 tháng12 năm 2018Triệu đồng,%_1,numeric__Ngày 31 tháng12 năm 2019Triệu đồng,numeric__%,numeric__Ngày 31 tháng12 năm 2018Triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,2.663.269,"1,24",2.413.160,"1,41",2663269.0,1.24,2413160.0,1.41
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,1.219.309,"0,57",649.260,"0,38",1219309.0,0.57,649260.0,0.38
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,586.735,"0,27",209.850,"0,12",586735.0,0.27,209850.0,0.12
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,30.285.397,"14,16",19.809.772,"11,59",30285397.0,14.16,19809772.0,11.59
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,3.485.615,"1,63",1.907.339,"1,12",3485615.0,1.63,1907339.0,1.12
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,36.824.109,"17,21",37.128.315,"21,73",36824109.0,17.21,37128315.0,21.73
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,3.567,"0,00",2.370,"0,00",3567.0,0.0,2370.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,49.893,"0,02",76.874,"0,04",49893.0,0.02,76874.0,0.04
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,674.667,"0,32",641.600,"0,38",674667.0,0.32,641600.0,0.38
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,15.492,"0,01",28.047,"0,02",15492.0,0.01,28047.0,0.02
"Hộ kinh doanh, cá nhân Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Hộ kinh doanh, cá nhân Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Hộ kinh doanh, cá nhân Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội",134.882.868,"63,05",105.126.089,"61,53",134882868.0,63.05,105126089.0,61.53
"Hộ kinh doanh, cá nhân Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Hộ kinh doanh, cá nhân Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Hộ kinh doanh, cá nhân Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội",3.167.201,"1,48",2.708.927,"1,59",3167201.0,1.48,2708927.0,1.59
Khác,Khác,Khác,91.446,"0,04",149.268,"0,09",91446.0,0.04,149268.0,0.09
,,,213.949.568,100,170.850.871,100,213949568.0,100.0,170850871.0,100.0
