row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 6thángTriệu đồng,numeric__Từ 6 - 12thángTriệu đồng,numeric__Từ 1 - 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.459.321,-,-,-,-,-,-,2.459.321,,2459321.0,,,,,,,2459321.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,3.454.138,-,-,-,-,-,3.454.138,,,3454138.0,,,,,,3454138.0
Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tài sản > Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,-,-,13.211.393,4.048.768,2.186.595,622.340,28.457,-,20.097.553,,,13211393.0,4048768.0,2186595.0,622340.0,28457.0,,20097553.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,1.571.141,-,-,-,-,-,1.571.141,,,1571141.0,,,,,,1571141.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,10.504.415,-,154.819.939,35.081.302,14.112.294,15.872.288,25.799.339,994.382,257.183.959,10504415.0,,154819939.0,35081302.0,14112294.0,15872288.0,25799339.0,994382.0,257183959.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,3.172.853,13.103.239,6.605.024,7.425.158,21.919.146,16.640.459,68.881.236,,15357.0,3172853.0,13103239.0,6605024.0,7425158.0,21919146.0,16640459.0,68881236.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,238.602,-,-,-,-,-,-,238.602,,238602.0,,,,,,,238602.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.922.972,-,-,-,-,-,-,1.922.972,,1922972.0,,,,,,,1922972.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,50.289,25.688.251,-,-,-,-,-,-,25.738.540,50289.0,25688251.0,,,,,,,25738540.0
