row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019VND,Ngày 31 tháng 12năm 2018VND,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2018VND
AUD,AUD,AUD,16.232,16.338,16232.0,16338.0
CAD,CAD,CAD,17.749,17.015,17749.0,17015.0
CHF,CHF,CHF,23.908,23.565,23908.0,23565.0
CNY,CNY,CNY,3.312,3.368,3312.0,3368.0
DKK,DKK,DKK,3.160,3.160,3160.0,3160.0
EUR,EUR,EUR,25.804,26.566,25804.0,26566.0
GBP,GBP,GBP,30.396,29.476,30396.0,29476.0
JPY,JPY,JPY,213,210,213.0,210.0
NZD,NZD,NZD,17.249,17.249,17249.0,17249.0
SEK,SEK,SEK,3.078,3.078,3078.0,3078.0
SGD,SGD,SGD,17.192,16.975,17192.0,16975.0
THB,THB,THB,640,640,640.0,640.0
USD,USD,USD,23.175,23.220,23175.0,23220.0
XAU (*),XAU (*),XAU (*),418.950,365.000,418950.0,365000.0
