row_label_raw,row_label_full,col_0,Thuyết minh,2019Triệu đồng,2018Triệu đồng,numeric__Thuyết minh,numeric__2019Triệu đồng,numeric__2018Triệu đồng
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,,48.403.838,39.792.502,,48403838.0,39792502.0
Chi phí lãi và các khoản chi phí tương tự đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi và các khoản chi phí tương tự đã trả,Chi phí lãi và các khoản chi phí tương tự đã trả,,(16.615.034),(15.399.517),,-16615034.0,-15399517.0
Thu nhập từ hoạt động dịch vụ nhận được,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,,2.736.292,1.511.310,,2736292.0,1511310.0
"Chênh lệch số tiền thực thu/ thực chi từ hoạt động kinh doanh chứng khoán, vàng bạc, ngoại tệ","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chênh lệch số tiền thực thu/ thực chi từ hoạt động kinh doanh chứng khoán, vàng bạc, ngoại tệ","Chênh lệch số tiền thực thu/ thực chi từ hoạt động kinh doanh chứng khoán, vàng bạc, ngoại tệ",,705.161,225.811,,705161.0,225811.0
Thu nhập khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thu nhập khác,Thu nhập khác,,141.417,2.589.855,,141417.0,2589855.0
"Tiền thu các khoản nợ đã được xử lý xoá, bù đắp bằng nguồn dự phòng rủi ro","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thu các khoản nợ đã được xử lý xoá, bù đắp bằng nguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xoá, bù đắp bằng nguồn dự phòng rủi ro",,1.864.821,2.092.678,,1864821.0,2092678.0
Tiền chi trả cho nhân viên và hoạt động quản lý công vụ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi trả cho nhân viên và hoạt động quản lý công vụ,Tiền chi trả cho nhân viên và hoạt động quản lý công vụ,,(11.806.924),(10.616.997),,-11806924.0,-10616997.0
Tiền thuế thu nhập thực nộp trong năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thuế thu nhập thực nộp trong năm,Tiền thuế thu nhập thực nộp trong năm,22,(2.265.251),(1.810.679),22.0,-2265251.0,-1810679.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ phải trả hoạt động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ phải trả hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ phải trả hoạt động,,23.164.320,18.384.963,,23164320.0,18384963.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
Các khoản tiền gửi và cấp tin dụng cho các tổ chức tin dụng khác,Những thay đổi về tài sản hoạt động > Các khoản tiền gửi và cấp tin dụng cho các tổ chức tin dụng khác,Các khoản tiền gửi và cấp tin dụng cho các tổ chức tin dụng khác,,(3.380.704),1.068.172,,-3380704.0,1068172.0
Các khoản về kinh doanh chứng khoán,Những thay đổi về tài sản hoạt động > Các khoản về kinh doanh chứng khoán,Các khoản về kinh doanh chứng khoán,,(16.390.678),(2.149.369),,-16390678.0,-2149369.0
Các khoản cho vay khách hàng,Những thay đổi về tài sản hoạt động > Các khoản cho vay khách hàng,Các khoản cho vay khách hàng,,(31.652.443),(38.593.215),,-31652443.0,-38593215.0
"Nguồn dự phòng để bù đắp tồn thất các khoản (tín dụng, chứng khoán, đầu tư dài hạn)","Những thay đổi về tài sản hoạt động > Nguồn dự phòng để bù đắp tồn thất các khoản (tín dụng, chứng khoán, đầu tư dài hạn)","Nguồn dự phòng để bù đắp tồn thất các khoản (tín dụng, chứng khoán, đầu tư dài hạn)",,(14.369.777),(10.676.250),,-14369777.0,-10676250.0
Thay đổi khác về tài sản hoạt động,Những thay đổi về tài sản hoạt động > Thay đổi khác về tài sản hoạt động,Thay đổi khác về tài sản hoạt động,,(7.036.989),(2.396.348),,-7036989.0,-2396348.0
Những thay đổi về nợ phải trả hoạt động,Những thay đổi về nợ phải trả hoạt động,Những thay đổi về nợ phải trả hoạt động,Những thay đổi về nợ phải trả hoạt động,Những thay đổi về nợ phải trả hoạt động,Những thay đổi về nợ phải trả hoạt động,,,
Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,,,,,,
Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng > Nhà nước Việt Nam,Nhà nước Việt Nam,,(3.761.851),3.755.329,,-3761851.0,3755329.0
"Các khoản tiền gửi, tiền vay các TCTC, TCTD khác","Các khoản nợ Chính phủ và Ngân hàng > Các khoản tiền gửi, tiền vay các TCTC, TCTD khác","Các khoản tiền gửi, tiền vay các TCTC, TCTD khác",,(3.363.462),16.167.602,,-3363462.0,16167602.0
Tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),Các khoản nợ Chính phủ và Ngân hàng > Tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),Tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),,43.098.697,37.300.059,,43098697.0,37300059.0
Phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),Các khoản nợ Chính phủ và Ngân hàng > Phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),Phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),,11.556.687,(14.946.570),,11556687.0,-14946570.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tin dụng chịu rủi ro","Các khoản nợ Chính phủ và Ngân hàng > Vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tin dụng chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tin dụng chịu rủi ro",,(37.826),872,,-37826.0,872.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các khoản nợ Chính phủ và Ngân hàng > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,27.100,(141.898),,27100.0,-141898.0
