row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2019Triệu đồng,Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2019Triệu đồng,numeric__Ngày 31 tháng 12năm 2018Triệu đồng
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,25.262,20.626,,25262.0,20626.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,,101.257.412,66.626.741,,101257412.0,66626741.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,1.577.709,1.583.073,,1577709.0,1583073.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.716.899,1.582.743,,1716899.0,1582743.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,,97.962.804,63.460.925,,97962804.0,63460925.0
Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,,-,1.860,,,1860.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,22.201.501,14.799.169,,22201501.0,14799169.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,16.745.678,13.860.017,,16745678.0,13860017.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,140.437.112,111.197.304,,140437112.0,111197304.0
,,,38,280.666.965,206.505.717,38.0,280666965.0,206505717.0
